Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Silly Love Songs""",Wings,"39 ContributorsSilly Love Songs Lyrics“Silly Love Songs” was written by Paul & Linda McCartney and topped the US pop chart for five non-consecutive weeks in spring 1976, making it not only Wings' biggest hit but Paul’s best-performing single as… Read More 
You'd think that people would've had enough of silly love songs
I look around me, and I see it isn't so
Some people want to fill the world with silly love songs

And what's wrong with that?
I'd like to know
'Cause here I go
Again!

I love you
I love you
I love you
I love you

I can't explain, the feeling's plain to me (I love you)
Now can't you see?
Ah, she gave me more, she gave it all to me (I love you)
Now can't you see?

What's wrong with that?
I need to know
'Cause here I go
Again!

I love you
I love you

Love doesn't come in a minute
Sometimes, it doesn't come at all
I only know that when I'm in it
It isn't silly
Love isn't silly
Love isn't silly at all (Yeah, yeah!)


How, can I tell, you about, my loved one?
How, can I tell, you about, my loved one?
How, can I tell, you about, my loved one? (I love you)
How, can I tell, you about, my loved one? (I love you)


I love you
I love you
I love you (I can't explain, the feeling's plain to me. Say, can't you see?)
I love you (Ah, he gave me more, he gave it all to me. Say, can't you see?) (That's it)
I love you (I can't explain, the feeling's plain to me. Say, can't you see?)
(How, can I tell, you about, my loved one?)
I love you (Ah, he gave me more, he gave it all to me. Say, can't you see?)
(How, can I tell, you about, my loved one?)
I love you (I can't explain, the feeling's plain to me. Say, can't you see?)
(How, can I tell, you about, my loved one?)
I love you (Ah, he gave me more, he gave it all to me. Say, can't you see?)
(How, can I tell, you about, my loved one?)


You'd think that people would've had enough of silly love songs
I look around me, and I see it isn't so, oh no
Some people want to fill the world with silly love songs

And what's wrong with that?","classic rock, rock, 70s, british, pop"
1,2,"""Don't Go Breaking My Heart""",Elton John & Kiki Dee,"36 ContributorsDon’t Go Breaking My Heart LyricsIn the book 1000 UK #1 Hits, Kiki Dee talked about the idea behind this song:
“Both Elton and I were big fans of those duets on Motown by Marvin Gaye and Tammi Terrell and there hadn’t been any around for a… Read More 
Don't go breaking my heart
I couldn't if I tried
Oh, honey, if I get restless
Baby, you're not that kind
Don't go breaking my heart
You take the weight off of me
Oh, honey, when you knocked on my door
Ooh, I gave you my key

Ooh, nobody knows it
When I was down, I was your clown
Ooh, nobody knows it (Nobody knows it)
Right from the start, I gave you my heart
Oh, I gave you my heart

So don't go breaking my heart
I won't go breaking your heart
Don't go breaking my heart

Nobody told us
'Cause nobody showed us
And now it's up to us, babe
Oh, I think we can make it
So don't misunderstand me
You put the light in my life
Oh, you put the spark to the flame
I've got your heart in my sights

Ooh, nobody knows it
When I was down, I was your clown
Ooh, nobody knows it (Nobody knows it)
Right from the start, I gave you my heart
Oh, I gave you my heart

Don't go breaking my heart
I won't go breaking your heart
Don't go breaking my heart

Ooh, nobody knows it
When I was down, I was your clown
Right from the start, I gave you my heart
Oh, I gave you my heart

Don't go breaking my heart
I won't go breaking your heart
Don't go breaking my, don't go breaking my
Don't go breaking my heart
Don't go breaking my, don't go breaking my
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart
Don't go breaking my heart (Don't go breaking my)
I won't go breaking your heart…","pop, 70s, oldies, 80s, Disco"
2,3,"""Disco Lady""",Johnnie Taylor,"9 ContributorsDisco Lady LyricsDisco Lady was written by Harvey Scales, Albert Vance and Don Davis (who also produced the song). It was featured on Johnnie’s album “Eargasm.”
The song was Johnnie’s first single for Columbia Records since… Read More 
Shake it up, shake it down
Move it in, move it 'round, disco lady
Move it in, move it out
Move it in 'round about, disco lady
Shake it up, shake it down
Move it in, move it around, disco lady
Well

Hey, sexy lady
Mm, said I like the way you do yo thang
Lord, have mercy, girl
You dance so fine
And you're right on time
Girl, you ought to be on TV on Soul Train
When you get to groove
There ain't no stoppin'
Just can't help it
But I'm, I'm finger poppin'

Shake it up, shake it down
Move it in, move it 'round, disco lady (Well)
Move it in, move it out
Move it in 'round about, disco lady (Oh)

Shake it baby, shake it (Woo)
Baby, shake your thang (One time)
Shake it baby, shake it (Woo)
Baby, shake yo thang
You got me groovin' (To the hustle, baby)
I feel like movin' (To the hustle, baby)
You got me movin' (To the hustle, baby)
(To the hustle, baby)
Can't sit still, I'm groovin' (To the hustle, baby)
I like that funky stuff

Shake it up, shake it down
Move it in, move it 'round, disco lady (Well)
Move it in, move it out
Shove it in 'round about, disco lady

Ah, sexy lady, no (Shake it, shake it)
Girl, you drive me crazy (Ah, shake it, shake it)
You dance so fine (Shake it, shake it)
And you're right on time
Girl, you're drivin' me (Ah, shake it, shake it)
Out of my mind, yeah
If it wasn't for this girl (Shake it, shake it)
Sittin' next to me
I'd jump right out (Ah, shake it, shake it)
Right out of my safety seat
You got me hypnotized (Shake it, shake it)
So mesmorized
Girl, you're movin' me (Ah, shake it, shake it)
Girl, you're groovin' me

Shake it, shake it (Right on time)
Ah, shake it, shake it (Shake it up, shake it on down)
Shake it, shake it (Move it on, baby, move it down to the ground)
Ah, shake it, shake it
Shake it, shake it
Ah, shake it, shake it
Shake it, shake it
Ah, shake it, shake it

Shake it up, shake it down
Move it in, move it 'round, disco lady (Well)
Move it in, move it out
Shove it in 'round about, disco lady (Hey, you've got me so upset)
Shake it up, shake it down (In this discotheque)
Move it in, move it round, disco lady (Girl, you're movin' me)
(Girl, you're groovin' me, woo)

Move it in, move it out
Shove it in 'round about, disco lady (Shake it baby, shake it)
Shake yo thing
Shake it up, shake it down (Shake it baby, shake it)
Move it in, move it round, disco lady (Shake yo thing)
Shake it for me, baby","soul, blues, rhythm and blues, funk, stax"
3,4,"""December, 1963 (Oh, What a Night)""",The Four Seasons,"36 ContributorsDecember, 1963 (Oh, What a Night) Lyrics“December 1963 (Oh, What a Night)” was featured on The Four Seasons‘ 1975 album Who Loves You. It was written by Bob Gaudio (who also produced the song) and his future wife Judy Parker.
Originally, the song… Read More 
Oh, what a night
Late December, back in '63
What a very special time for me
As I remember, what a night

Oh, what a night
You know, I didn't even know her name
But I was never gonna be the same
What a lady, what a night

Oh, I, I got a funny feeling
When she walked in the room
And my, as I recall
It ended much too soon

(Oh, what a night)
Hypnotizing, mesmerizin' me
She was everything I dreamed she'd be
Sweet surrender, what a night

And I felt a rush
Like a rolling bolt of thunder
Spinning my head around
And takin' my body under
(Oh, what a night)

Oh, I got a funny feeling
When she walked in the room
And my, as I recall
It ended much too soon

(Oh, what a night)
Why'd it take so long to see the light?
Seemed so wrong, but now it seems so right
What a lady, what a night

Oh, I felt a rush
Like a rolling bolt of thunder
Spinning my head around
And takin' my body under

(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do
(Oh, what a night)
Do do do, do do, do do do do...","60s, oldies, pop, rock, classic rock"
4,5,"""Play That Funky Music""",Wild Cherry,"32 ContributorsPlay That Funky Music Lyrics“Play That Funky Music” is Wild Cherry’s first and only international top 10 hit, and their signature song. It topped the US Pop Chart in September of 1976. In 2018, Billboard named it one of the greatest… Read More 
A-hey, do it now, huh
Yeah, hey

Hey-ah, once I was a boogie singer
Playing in a rock and roll band
I never had no problems, yeah
Burning down the one-night stands
Then everything around me, yeah
It got to start to feeling so low
And I decided quickly, yes, I did, heh
To disco down and check out the show

Yeah, they were dancing and singing
And moving to the grooving
And just when it hit me
Somebody turned around and shouted

""Play that funky music, white boy
Play that funky music right
Play that funky music, white boy
Lay down the boogie and play that funky music 'til you die"", heh heh
'Til you die, yeah (What?)
Hear, hear, heh

A-heh, I tried to understand this (Yeah)
Heh, I thought that they were out of their minds
Heh, how could I be so foolish, how could I
To not see I was the one behind?
So still I kept on fighting
Well, losing every step of the way (Hey, what'd you do?)
I said, ""I must go back there"", I got to go back
And check to see if things still the same

Yeah, they were dancing and singing
And moving to the grooving
And just when it hit me
Somebody turned around and shouted

""Play that funky music, white boy (Yeah)
Play that funky music right, oh
Play that funky music, white boy
Lay down the boogie and play that funky music 'til you die"", heh
'Til you die (Yeah)
Woah, 'til you die
Gonna play some electrified funky music, yow!

Ah ha ha

Hey, wait a minute, now first it wasn't easy
Changing rock and roll and minds
Yeah, things were getting shaky
(Yeah) I thought I'd have to leave it behind, uh
Ooh, but now it's so much better, it's so much better
I'm funking out in every way
But I'll never lose that feeling, no, I won't
Of how I learned my lesson that day

When they were dancing and singing
And moving to the grooving
And just when it hit me
Somebody turned around and shouted

""Play that funky music, white boy
Play that funky music right
Play that funky music, white boy
Lay down the boogie and play that funky music 'til you die"", heh heh
'Til you die (Yeah)
Oh, 'til you die, yeah
Come on, let's go!

(They shouted, ""Play that funky music"") Play that funky music
(Play that funky music) You gotta keep on playing funky music
(Play that funky music) Play that funky music
(Play that funky music) Come on and take you higher
Play that funky music, white boy
Play that funky music right, yeah
Play that funky music, white boy
Play that funky music right, yeah
Play that funky music, white boy
Play that funky music right, yeah
Play that funky music, honky
Play that funky music right","funk, Disco, soul, 70s, rock"
5,6,"""Kiss and Say Goodbye""",The Manhattans,"20 ContributorsKiss and Say Goodbye Lyrics“Kiss And Say Goodbye” was written by Winfred Lovett. The song lyrics & the melody came to him one late night.
The song topped the Billboard Hot 100 and Billboard’s Hot Soul Singles chart in 1976, becoming… Read More 
This has got to be the saddest day of my life
I called you here today for a bit of bad news
I won't be able to see you anymore
Because of my obligations and the ties that you have
We've been meeting here every day
And since this is our last day together
I wanna hold you just one more time
When you turn and walk away, don't look back
I wanna remember you just like this
Let's just kiss and say goodbye

I had to meet you here today
There's just so many things to say
Please don't stop me till I'm through
This is somethin' I hate to do

We've been meeting here so long
I guess what we done, oh was wrong
Please darlin', don't you cry
Let's just kiss and say goodbye

Many months have passed us by
I'm gonna miss you, I can't lie
I've got ties and so do you
I just think this is the thing to do

It's gonna hurt me, I can't lie
Maybe you'll meet, you'll meet another guy
Understand me, oh won't you try, try, try, try, try, try, try?
Let's just kiss an' say goodbye

I'm gonna miss you, I can't lie
Understand me, oh won't you try?
It's gonna hurt me, I can't lie
Take my handkerchief an' wipe your eyes
Maybe you'll find, you'll find another guy
Well let's kiss and say goodbye, pretty baby
Please, don't you cry
Understand me, oh won't you try?
Let's just kiss and say goodbye","soul, motown, oldies, The Manhattans, quiet storm"
6,7,"""Love Machine""",The Miracles,"16 ContributorsLove Machine Lyrics“Love Machine” topped the Billboard Hot 100 and peaked at #5 on Billboard’s R&B Singles chart.
The song was split into two parts for its single release with “Part 1” getting the most success and became a… Read More 
Hoo-hoo-hoo, yeah

I'm just a love machine
And I won't work for nobody but you (Yeah, baby)
I'm just a love machine
A hugging kissing fiend

I think it's high time you knew
Whenever I think of you
My mind blows a fuse (Baby)
When I look in your eyes
My meter starts to rise
And I become confused

My voltage regulator cools
When I'm sitting next to you
Electricity starts to flow
And my indicator starts to glow, ooh

(I, I) I'm just a love machine
And I won't work for nobody but you (Hoo-hoo-hoo, yeah)
I'm just a love machine (Yeah, baby)
A hugging kissing fiend

La, la-la-la-la
La-la-la-la, la-la
Doo-doo-doo
La-la-la-la-la
La-la-la-la, la-la
(I, I) I'm just a love machine
And I won't work for nobody but you (Hoo-hoo-hoo, yeah)
I'm just a love machine (Yeah, baby)
A hugging kissing fiend

I'm gentle as a lamb
I'm not that hard to program
There's no way that you can lose (Doo, doo, doo-doo, ow)
My chassis fits like a glove
I've got a button for love (Push it, push it, ooh)
That you have got to use (Push it, push it)

If you look into my file
I am sure you can find out how
To turn me on, just set my dial
And let me love you for a little while, ooh

(I, I) I'm just a love machine
And I won't work for nobody but you (Hoo-hoo-hoo, yeah)
I'm just a love machine (Yeah, baby)
A hugging kissing fiend

La, la-la-la-la
La-la-la-la, la-la
Doo-doo-doo
La-la-la-la-la
La-la-la-la, la-la
Push it, push it, baby, ow

(I, I) I'm just a love machine
And I won't work for nobody but you (Hoo-hoo-hoo, yeah)
I'm just a love machine (Yeah, baby)
A hugging kissing fiend
(I, I) I'm just a love machine
I won't operate for anybody but you (Hoo-hoo-hoo, yeah)
I'm just a love machine (Yeah, baby)
A hugging kissing fiend

Hoo-hoo-hoo, yeah
Love-makin'
Earth-quakin', soul-shakin'
Love machine
I won't operate for anybody but you
Love-makin'
Earth-quakin', soul-shakin'
Love machine
I won't operate for anybody but you

Hoo-hoo-hoo, yeah
Love-makin'
Earth-quakin', soul-shakin'
Love machine
I won't operate for anybody but you
Love-makin'
Earth-quakin', soul-shakin'
Love machine
I won't operate for anybody but you","soul, motown, 60s, rhythm and blues, funk"
7,8,"""50 Ways to Leave Your Lover""",Paul Simon,"36 Contributors50 Ways to Leave Your Lover Lyrics“50 Ways to Leave Your Lover” was written & produced by Paul Simon. Phil Ramone was the co-producer on the song.
The song was written after Paul Simon’s divorce from his first wife Peggy Harper. It was… Read More 
""The problem is all inside your head,"" she said to me
""The answer is easy if you take it logically
I'd like to help you in your struggle to be free
There must be fifty ways to leave your lover""
She said, ""It's really not my habit to intrude
Furthermore, I hope my meaning won't be lost or misconstrued
But I'll repeat myself at the risk of being crude
There must be fifty ways to leave your lover""
Fifty ways to leave your lover

You just slip out the back, Jack
Make a new plan, Stan
You don't need to be coy, Roy
Just get yourself free
Hop on the bus, Gus
You don't need to discuss much
Just drop off the key, Lee
And get yourself free
Ooh, slip out the back, Jack
Make a new plan, Stan
You don't need to be coy, Roy
You just listen to me
Hop on the bus, Gus
You don't need to discuss much
Just drop off the key, Lee
And get yourself free

She said, ""It grieves me so to see you in such pain
I wish there was something I could do to make you smile again""
I said, ""I appreciate that, and would you please explain
About the fifty ways?""
She said, ""Why don't we both just sleep on it tonight
And I believe in the morning, you'll begin to see the light""
And then she kissed me, and I realized she probably was right
There must be fifty ways to leave your lover
Fifty ways to leave your lover

You just slip out the back, Jack
Make a new plan, Stan
You don't need to be coy, Roy
Just get yourself free
Oh, you hop on the bus, Gus
You don't need to discuss much
Just drop off the key, Lee
And get yourself free
Slip out the back, Jack
Make a new plan, Stan
You don't need to be coy, Roy
You just listen to me
Hop on the bus, Gus
You don't need to discuss much
Just drop off the key, Lee
And get yourself free","singer-songwriter, folk, classic rock, acoustic, rock"
8,9,"""Love Is Alive""",Gary Wright,"5 ContributorsLove is Alive Lyrics
Well, I think it's time to get ready
To realize just what I have found
I have lived only half of what I am
It's all clear to me now

My heart is on fire
My soul's like a wheel that's turnin'
My love is alive
My love is alive, yeah, girl, yeah

There's something inside that's making me crazy
I'll try to keep it together
'Cause what I say may not happen the same way
Now could be forever

My heart is on fire
My soul's like a wheel that's turnin'
My love is alive
My love is alive, yeah, girl, yeah

My love is alive
Woo hoo, my love is alive

There's a mirror moving inside my mind
Reflecting the love that you shine on me
Hold on now to that feeling
Let it flow, let it grow, yeah, yeah

My heart is on fire
My soul's like a wheel that's turnin'
My love is alive
My love is alive, yeah, girl, yeah
My love is alive
Woo hoo, my love is alive
Woo hoo, my love is alive
My love is alive
Woo hoo, my love is alive
Woo hoo, my love is alive
Woo hoo, my love is alive
Woo hoo","classic rock, rock, 70s, pop, soft rock"
9,10,"""A Fifth of Beethoven""",Walter Murphy & The Big Apple Band,,"instrumental, 70s, pop, easy listening, USA"
