Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""In da Club""",50 Cent,"265 ContributorsTranslationsTürkçePortuguêsItalianoEnglishEspañolDeutschРусский (Russian)In da Club Lyrics“In da Club” was the first of seven tracks 50 Cent recorded with Dr. Dre in only five days. Originally planned as a D12 song for the 8 Mile soundtrack, producer Dr Dre played the instrumental for 50 who… Read More 

Go, go
Go, go, go, go
Go, shawty, it's your birthday
We gon' party like it's your birthday
We gon' sip Bacardí like it's your birthday
And you know we don't give a fuck it's not your birthday
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed

When I pull up out front, you see the Benz on dubs (Uh-huh)
When I roll twenty deep, it's twenty nines in the club (Yeah)
Niggas heard I fuck with Dre, now they wanna show me love
When you sell like Eminem, then the hoes, they wanna fuck (Woo)
Look homie, ain't nothin' changed, hoes down, G's up
I see Xzibit in the cut, hey, nigga, roll that weed up (Roll that)
If you watch how I move, you'll mistake me for a player or pimp
Been hit with a few shells, but I don't walk with a limp (I'm aight)
In the hood in L.A., they sayin', ""50, you hot"" (Uh-huh)
They like me, I want 'em to love me like they love Pac
But holla in New York, the niggas'll tell you I'm loco (Yeah)
And the plan is to put the rap game in a chokehold (Uh-huh)
I'm fully focused, man, my money on my mind
Got a mil' out the deal and I'm still on the grind (Woo)
Now shawty said she feelin' my style, she feelin' my flow (Uh-huh)
Her girlfriend with her, they bi and they ready to go (Okay)

You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Rubbed)

My flow, my show brought me the dough
That bought me all my fancy things
My crib, my cars, my clothes, my jewels
Look, nigga, I done came up and I ain't changed (What? What? Yeah)

And you should love it way more than you hate it
Nigga, you mad? I thought that you'd be happy I made it (Woo)
I'm that cat by the bar toastin' to the good life
You that faggot-ass nigga tryna pull me back, right?
When my joint get to bumpin' in the club, it's on
I wink my eye at your bitch, if she smiles, she gone
If the roof on fire, let the motherfucker burn
If you talkin' about money, homie, I ain't concerned
I'ma tell you what Banks told me, ""Cuz, go 'head, switch the style up
If niggas hate, then let 'em hate, and watch the money pile up""
Or we can go upside your head with a bottle of bub'
They know where we fuckin' be

You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Hahahaha)

Don't try to act like you don't know where we be neither, nigga
We in the club all the time, nigga, so pop, pop off, nigga
G-Unit","rap, Hip-Hop, Gangsta Rap, hip hop, 50 Cent"
1,2,"""Ignition""",R. Kelly,"17 ContributorsIgnition LyricsR. Kelly, in his typical fashion, channels the vibe of Prince’s Little Red Corvette and fills this song to the absolute brim with sexual innuendos describing a “car ride”. Much less well-known than the… Read More 
You remind me of something
I just can't think of what it is

Girl, please
Let me stick my key in your ignition, babe
So I can get this thing started and get rollin', babe
See I'll be doin' about 80 on your freeway
Girl, I won't stop until I drive you crazy
So buckle up cause this can get bumpy, babe
Now hit the lights and check out all my functions, babe
Girl, back that thing up so I can wax it, baby

Honey, we gon' mess around and get a ticket, babe

Cause
We off up in this jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got this shit bouncin'
We goin' up and down
We smokin' and we drinkin'
Just a'thuggin it out

Jump up, down once I hit them switches, babe
And I'm about to take it where you want to go, babe
Guarantee you I'm about to get some mileage, babe
And it won't be no runnin' out of gas, babe
It's like woo-ooh-ooh, pull over, babe
And let me put this lovin' off in your trunk, babe
So buckle up this could get bumpy, babe

Girl, we gon' mess around and get a ticket, babe

Cause
We off up in this jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got this shit bouncin'
We goin' up and down
We smokin' and we drinkin'
Just a'thuggin it out

Now hold on tight cause I'm about to go faster, babe
Girl, you dealing with a pro behind this wheel, babe
So tell me have you ever driven a stick, babe?
You'll be screamin' every time we shift them gears, babe
So brace yourself while I'm hittin' them corners, babe
When it's over put that Kells on your license plates
Now buckle up cause this can get bumpy, babe

Girl, we gon' mess around and get a ticket, babe

Cause
We off up in this jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got this shit bouncin'
We goin' up and down
We smokin' and we drinkin'
Just a'thuggin it out

When I hear you say:
(Green light) I'mma go
(Yellow light) Do it slow
(Red light) I'mma stop
When I hear you say:
(Switch lanes) Hit the signal
(Pit stop) Take a break
Hit the hazards when we park
Because we about to go real far

Cause
We off up in this jeep
We foggin' up the windows
We got the radio up
We all up in the back
We got this shit bouncin'
We goin' up and down
We smokin' and we drinkin'
Just a'thuggin it out

Now let me see you
Bounce bounce bounce bounce bounce bounce bounce
Bounce bounce bounce bounce bounce bounce bounce","rnb, soul, Hip-Hop, rap, hip hop"
2,3,"""Get Busy""",Sean Paul,"43 ContributorsGet Busy Lyrics“Get Busy” was released as Sean Paul’s second single from his album Dutty Rock. The song was one of the many hits from the Diwali Riddim and has also been released in 2002 on the album “Greensleeves Rhythm… Read More 
Shake dat ting, miss Cana, Cana
Shake dat ting, miss Annabella
Shake dat ting, yo, Donna Donna
Jodi and Rebecca

Woman, get busy, jus shake dat booty nonstop
When di beat drop, jus keep swingin' it
Get jiggy, get crunked up
Percolate anyting yuh waan fi call it, oscillate yuh hip
And don't take pity, mi waan fi see yuh get live
'Pon di riddim when mi ride and mi lyrics ah provide electricity
Gyal, nobody cyaan tell yuh nuttin'
Cah yuh done know yuh destiny

Yo, sexy ladies waan par wid us
Inna di car wid us, dem nah war wid us
Inna di club, dem waan flex wid us
To get next to us, dem cyaan vex wid us
From di day mi born, Jah ignite mi flame
Gyal ah call mi name and it is mi fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

Gyal, don't sweat it, don't get agitate, jus gwaan rotate
Cah anyting you want, you know you must get it
From yuh name ah mention, don't ease di tension
Gyal, run di program, jus gwaan pet it
Now have a good time
Gyal, free up unuh mind cah nobody cyaan dis, yo' man won't let it
Cah you a di number one, gyal, wave yo' hand
Mek dem see yo' weddin' band

Yo, sexy ladies waan par wid us
Inna di car wid us, dem nah war wid us
Inna di club, dem waan flex wid us
To get next to us, dem nah vex wid us
From di day mi born, Jah ignite mi flame
Gyal ah call mi name and it is mi fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

Woman, get busy, jus shake dat booty nonstop
When di beat drop, jus keep swingin' it
Get jiggy, get crunked up
Percolate anyting yuh waan fi call it, oscillate yuh hip
And don't take pity, mi waan fi see yuh get live
When di riddim, it ah ride and mi lyrics ah provide electricity
Gyal, nobody cyaan tell yuh nuttin'
Cah yuh done know yuh destiny

Yo, sexy ladies waan par wid us
Inna di car wid us, dem nah war wid us
Inna di club, dem waan flex wid us
To get next to us, dem cyaan vex wid us
From di day mi born, Jah ignite mi flame
Gyal ah call mi name and it is mi fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

Yo, shake dat ting, miss Cana, Cana
Shake dat ting, yo, Annabella
Shake dat ting, miss Donna, Donna, yo
Miss Jodi an' di one named Rebecca
Yo, shake dat ting, yo, Joanna
Shake dat ting, yo, Annabella
Shake dat ting, miss Cana, Cana
Dutty, yeah, yo (Yo, ayy, waan mi go so den)

Sexy ladies waan par wid us
Inna di car wid us, dem nah war wid us
Inna di club, dem waan flex wid us
Fi get next to us, dem nah vex wid us
From di day mi born, Jah ignite mi flame
Gyal ah call mi name and it is mi fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

Let's get it on 'til a early morn'
Girl, it's all good, jus turn me on

Yo, sexy ladies waan par wid us
Inna di car wid us, dem nah war wid us
Inna di club, dem waan flex wid us
To get next wid us, dem nah vex wid us
From di day mi born, Jah ignite mi flame
Gyal ah call mi name, yo, it is mi fame
It's all good, girl, turn me on
'Til a early morn', let's get it on

Let's get it on 'til a early morn'
It's all good, jus turn me on
Let's get it on 'til a early morn'
It's all good, jus turn me on","dancehall, reggae, Hip-Hop, rnb, rap"
3,4,"""Crazy in Love""",Beyoncé featuring Jay-Z,"129 ContributorsCrazy in Love Lyrics“Crazy In Love” is the ridiculously successful lead single from Beyoncé’s first solo album Dangerously In Love.
Penned by Beyoncé and Rich Harrison, the song revolves around falling in love and doing things… Read More 
Yes (Woo, ow)
So crazy right now
Most incredibly
It's your girl, B (Yes, woo)
It's your boy, Young
You ready?

Uh-oh, uh-oh, uh-oh, oh no, no (Ow)
Uh-oh, uh-oh, uh-oh, oh no, no
Uh-oh, uh-oh, uh-oh, oh no, no
Uh-oh, uh-oh, uh-oh, oh no, no

Ch-yeah
History in the making
Part two
It's so crazy right now

I look and stare so deep in your eyes
I touch on you more and more every time
When you leave, I'm beggin' you not to go
Call your name two, three times in a row
Such a funny thing for me to try to explain
How I'm feelin', and my pride is the one to blame (Yeah, yeah)
'Cause I know I don't understand
Just how your love can do what no one else can

Got me looking so crazy right now
Your love's got me looking so crazy right now (Your love)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Your touch)
Got me hoping you'll page me right now
Your kiss got me hoping you'll save me right now
Looking so crazy, your love's got me looking
Got me looking so crazy in love

Uh-oh, uh-oh, uh-oh, oh no, no
Uh-oh, uh-oh, uh-oh, oh no, no
Uh-oh, uh-oh, uh-oh, oh no, no
Uh-oh, uh-oh, uh-oh, oh no, no

When I talk to my friends so quietly
(""Who he think he is?"") Look at what you did to me
Tennis shoes, don't even need to buy a new dress
If you ain't there, ain't nobody else to impress
It's the way that you know what I thought I knew
It's the beat that my heart skips when I'm with you
But I still don't understand
Just how your love can do what no one else can

Got me looking so crazy right now
Your love's got me looking so crazy right now (So crazy, your love)
Got me looking so crazy right now (Your love)
Your touch got me looking so crazy right now (Oh, your touch)
Got me hoping you'll page me right now (Yeah)
Your kiss got me hoping you'll save me right now (Hey)
Looking so crazy, your love's got me looking (Ch-yeah)
Got me looking so crazy in love (Ch-yeah)
I'm looking so crazy, your love's got me looking (Woo)
Got me looking so crazy in love (I'm warmed up now, let's go)

Young Hov, y'all know when the flow is loco (No, no)
Young B and the R-O-C, uh-oh (Oh, no)
O.G. Big Homie, the one and only (No, no)
Stick bony, but the pockets is fat like Tony Soprano (No, no, no)
The ROC handle like Van Exel
I shake phonies, man, you can't get next to
The genuine article, I do not sing, though
I sling, though, if anything, I bling, yo
A star like Ringo, war like a Green Beret (Oh)
You crazy? Bring your whole set (Oh)
JAY-Z in the Range, crazy and deranged
They can't figure him out, they like, ""Hey, is he insane?""
Yes, sir, I'm cut from a different cloth
My texture is the best fur, chinchilla
I've been iller than chain smokers
(Uh-oh, uh-oh, uh-oh, oh no, no)
How you think I got the name Hova?
(Uh-oh, uh-oh, uh-oh, oh no, no)
I been realer, the game's over
Fall back, Young
(Uh-oh, uh-oh, uh-oh, oh no, no)
Ever since I made the change over to platinum
(Uh-oh, uh-oh, uh-oh, oh no, no)
The game's been a wrap, one

Got me looking so crazy, my baby
I'm not myself lately, I'm foolish, I don't do this
I've been playing myself, baby, I don't care
'Cause your love's got the best of me
And, baby, you're making a fool of me
You got me sprung and I don't care who sees
'Cause baby, you got me, you got me
You got me so crazy, baby (Hey)

Got me looking so crazy right now (Your love)
Your love's got me looking so crazy right now (Looking crazy)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Baby, your touch)
Got me hoping you'll page me right now (Yeah, babe)
Your kiss got me hoping you'll save me right now (Oh)
Looking so crazy, your love's got me looking (Yeah)
Got me looking so crazy in love (Woah)
Got me looking so crazy right now
Your love's got me looking so crazy right now (Your love)
Got me looking so crazy right now
Your touch got me looking so crazy right now (Your touch)
Got me hoping you'll page me right now
Your kiss got me hoping you'll save me right now
Looking so crazy, your love's got me looking
Got me looking so crazy in love","rnb, pop, female vocalists, soul, Hip-Hop"
4,5,"""When I'm Gone""",3 Doors Down,"26 ContributorsWhen I’m Gone Lyrics3 Doors Down are not one hit wonders. There was a period during the early 2000’s when they ruled the airwaves, and “When I’m Gone” is living proof. It shot to number 4 on the US Billboard 100, on the back of… Read More 
There's another world inside of me that you may never see
There's secrets in this life that I can't hide
But somewhere in this darkness
There's a light that I can't find
Well maybe it's too far away, yeah
Or maybe I'm just blind
Or maybe I'm just blind

So hold me when I'm here, right me when I'm wrong
Hold me when I'm scared and love me when I'm gone
Everything I am and everything in me
Wants to be the one you wanted me to be
I'll never let you down even if I could
I'd give up everything if only for your good
So hold me when I'm here, right me when I'm wrong
You can hold me when I'm scared
You won't always be there
So love me when I'm gone
Love me when I'm gone

When your education X-ray cannot see under my skin
I won't tell you a damn thing that I could not tell my friends
Roaming through this darkness, I'm alive, but I'm alone
And part of me is fighting this, but part of me is gone

So hold me when I'm here, right me when I'm wrong
Hold me when I'm scared and love me when I'm gone
Everything I am and everything in me
Wants to be the one you wanted me to be
I'll never let you down even if I could
I'd give up everything if only for your good
So hold me when I'm here, right me when I'm wrong
You can hold me when I'm scared
You won't always be there
So love me when I'm gone
Love me when I'm gone

Or maybe I'm just blind

So hold me when I'm here, right me when I'm wrong
Hold me when I'm scared and love me when I'm gone
Everything I am and everything in me
Wants to be the one you wanted me to be
I'll never let you down even if I could
I'd give up everything if only for your good
So hold me when I'm here, right me when I'm wrong
You can hold me when I'm scared
You won't always be there
So love me when I'm gone
Love me when I'm gone

Love me when I'm gone
When I'm gone
When I'm gone
When I'm gone","alternative rock, rock, alternative, hard rock, 3 Doors Down"
5,6,"""Unwell""",Matchbox Twenty,"45 ContributorsUnwell Lyrics“Unwell” is the second single from Matchbox Twenty’s third album, More Than You Think You Are. It is one of their most well-known songs and was very popular at the time of its release.
 Rob Thomas, the lead… Read More 
All day
Starin' at the ceilin', makin'
Friends with shadows on my wall
All night
Hearin' voices tellin' me
That I should get some sleep
Because tomorrow might be good for somethin'

Hold on
Feelin' like I'm headed for a
Breakdown
And I don't know why

But I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be

Me
I'm talkin' to myself in public
And dodgin' glances on the train
And I know
I know they've all been talkin' 'bout me
I can hear them whisper
And it makes me think there must be somethin' wrong

With me
Out of all the hours thinkin'
Somehow
I've lost my mind

But I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be

I've been talkin' in my sleep
Pretty soon they'll come to get me
Yeah, they're takin' me away

I'm not crazy, I'm just a little unwell
I know right now you can't tell
But stay awhile and maybe then you'll see
A different side of me
I'm not crazy, I'm just a little impaired
I know right now you don't care
But soon enough you're gonna think of me
And how I used to be

Hey, how I used to be
How I used to be
Well, I'm just a little unwell
How I used to be
How I used to be
I'm just a little unwell","rock, alternative rock, alternative, 90s, pop"
6,7,"""Right Thurr""",Chingy,"46 ContributorsRight Thurr Lyrics“Right Thurr” is Chingy’s 4th track off the album, Jackpot.
It’s the first song he ever recorded, and still his most successful song to date. It would’ve reached #1 on the Top 40 charts had it not been for… Read More 
Uh
Hey, Dirty (What?)
Look at that girl right thurr (Ooh), she make me say
Ooh, ooh (Yeah), ooh, ooh (Ayy)
Do what you do (C'mon)

I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)

I like the way you look in them pants, see ya fine (Fine)
Lil momma a quarter piece, she far from a dime (Dime)
The type of girl that'll get'cha up and go make you grind (Grind)
I'm thinkin' about snatchin' her up, Dirty, makin' her mine
Look at her hips (What?), look at her legs, ain't she stacked? (Stacked)
I sure wouldn't mind hittin' that from the back (Back)
I like it when I touch it 'cause she moan a lil' bit
Jeans saggin' so I can see her thong a lil' bit
I know you grown a little bit, twenty years old, you legal
Don't trip off my people, just hop in the Regal
I swooped on her like an eagle swoop down on its prey
I know you popular, but you gonna be famous today, I say

I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)
I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)

She be shoppin' in Frontenac
Just look at her front and back
Man, she so stacked and she know that I want that
Her man, he's so wack, girl, can I taste yo cat?
Gave her three hundred to strip, like buyin' a throwback
She stay in the club, like to be seen, she got it honest
In real life, girl remind me of Pocahontas
She be at events (Yeah), cuss out the press when she pass (Yeah)
All the high rollin' cats wanna pay for that ass
Ain't no half steppin', she strapped with a nice weapon
Trick, it's against the law for her to move them hips
If you ever seen her dirty, your mouth gon' drop
Worldwide fools probably tell you this off tops

I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)
I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)

I like the way she doin' that (C'mon)
Plus I like it when she bring it back (Say it)
Ooh, (Uh-huh) ooh, ooh, ooh, (Uh-huh) do what you do (Woo)
I like the way she doin' that (C'mon)
Plus I like it when she bring it back (Say it)
Ooh, (Uh-huh) ooh, ooh, ooh, (Uh-huh) do what you do (Woo)

Gimme what you got for a pork chop
Uh, she threw it at me like I was a shortstop
Huh, twerkin' in a Fatty Girl halter top
Then she back it up on me and let it drop (Drop)
Make it hop (boing) like a bunny (Bunny)
Girl, can I touch you where it's sunny?
Her a purse, will make you give her some money
She should pose for Sports Illustrated
It's like a picture-perfect sight
When she pass, all the other girls hate it

But I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)
I like the way you do that right thurr (Right thurr)
Switch your hips when you're walkin', let down your hurr (Down your hurr)
I like the way you do that right thurr (Right thurr)
Lick your lips when you're talkin', that make me sturr (Make me sturr)

I like that (Uh-huh)
I like that (Uh-huh)
I like that (Uh-huh)
I like that (Trak Starz)
Ooh, ooh, ooh, ooh, do what you do
I like that (Yeah)
I like that (Yeah)
I like that (Yeah)
I like that (Chingy)
Ooh, ooh, ooh, ooh, do what you do","Hip-Hop, rap, Dirty South, hip hop, rnb"
7,8,"""Miss You""",Aaliyah,"39 ContributorsMiss You Lyrics“Miss You” is a song by American recording artist Aaliyah. Written by Johnta Austin, Ginuwine and Teddy Bishop in 1998 and initially recorded in the fall of 1999 for her self-titled third studio album (2001),… Read More 
Oh, hey
Yeah-yeah-yeah
No-no-no-no-no-no

It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you (Said I'm needing you), wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you

Off to college, yes, you went away
Straight from high school, you up and left me
We were close friends, also lovers
Did everything for one another
Now you're gone and I'm lost without you here now
But I know I gotta live and make it somehow
Come back to me, can you feel me calling?
Hear me calling for you, for you, 'cause it's

It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes (I miss you)

Now I'm sitting here, thinking 'bout you
And the days we used to share
It's driving me crazy, I don't know what to do
I'm just wondering if you still care
I don't wanna let you know that it's killing me
I know you got another life you gotta concentrate, baby
Come back to me, can you feel me calling?
Hear me calling for you, for you, 'cause it's

It's been too long and I'm lost without you
What am I gonna do?
Said I been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you
It's been too long and I'm lost without you
What am I gonna do?
I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes, yeah
I miss you

I-I-I-I-I-I, I-I-I-I-I-I (I miss you)
I-I-I-I-I, I-I-I-I-I
I can't be no more, no
Since you went away, I don't really feel like talking (No)
No one here to love me (No), baby, do you understand me?
I can't do a thing without you

It's been too long and I'm lost without you
Tell what I'm gonna do?
Said I've been needing you (Yeah), wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes (Yeah)
I miss you (Baby)
It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you
It's been too long and I'm lost without you
What am I gonna do?
Said I've been needing you, wanting you
Wondering if you're the same and who's been with you
Is your heart still mine, I wanna cry sometimes
I miss you","rnb, soul, female vocalists, pop, Hip-Hop"
8,9,"""Picture""",Kid Rock featuring Sheryl Crow,"28 ContributorsPicture Lyrics“Picture” was co-written by Kid Rock and Sheryl Crow, and appears on Kid’s 2001 album, Cocky.
This is a duet sung by two lovers who represent stereotypical country music archetypes, told in alternating… Read More 
Livin' my life in a slow hell
Different girl every night at the hotel
I ain't seen the sunshine in three damn days
Been fuelin' up on cocaine and whiskey
Wish I had a good girl to miss me
Lord, I wonder if I'll ever change my ways

I put your picture away
Sat down and cried today
I can't look at you while I'm lying next to her
I put your picture away
Sat down and cried today
I can't look at you while I'm lying next to her (Ooh-ooh)

I called you last night in the hotel
Everyone knows, but they won't tell
But their half-hearted smiles tell me something just ain't right
I've been waitin' on you for a long time
Fuelin' up on heartaches and cheap wine
I ain't heard from you in three damn nights

I put your picture away
I wonder where you've been
I can't look at you while I'm lyin' next to him (Ooh)
I put your picture away
I wonder where you've been
I can't look at you while I'm lyin' next to him (Ooh)

I saw you yesterday with an old friend
It was the same old same, how have you been?
Since you've been gone, my world's been dark and grey
You reminded me of brighter days
I hoped you were comin' home to stay
I was headed to church
I was off to drink you away (Drink you away)
I thought about you for a long time
Can't seem to get you off my mind
I can't understand why we're living life this way

I found your picture today
I swear I'll change my ways
I just called to say I want you
To come back home (Ooh-ooh)
I found your picture today
I swear I'll change my ways
I just called to say I want you
To come back home

I just called to say I love you
Come back home

Songwriters:  Kid Rock and Sheryl Crow",
9,10,"""Bring Me to Life""",Evanescence featuring Paul McCoy,"2 ContributorsTranslationsEnglishPolskiTürkçeČeskyPortuguês한국어 (Korean)Tiếng ViệtDeutschItalianoEvanescence - Bring Me to Life ft. Paul McCoy (Traducción al Español) Lyrics

¿Cómo puedes ver dentro de mis ojos
Como si fueran puertas abiertas?
Llevándote dentro de mis entrañas
Donde me he vuelto tan insensible

Sin una alma (Alma)
Mi espíritu está durmiendo en algún lugar frío
Hasta que lo encuentres ahí y lo lleves de vuelta a casa

(Despiértame) Despiértame por dentro
(No puedo despertar) Despiértame por dentro
(Sálvame) Llama por mi nombre y sálvame de la oscuridad
(Despiértame) Ordena a mi sangre que corra
(No puedo despertar) Antes de que quede deshecha
(Sálvame) Sálvame de la nada en la que me he convertido

Ahora que sé lo que me falta
No puedes simplemente dejarme (No)
Respira sobre mí y hazme real (Hazme real)
Tráeme (Tráeme) a (A) la vida

(Despiértame) Despiértame por dentro
(No puedo despertar) Despiértame por dentro
(Sálvame) Llama por mi nombre y sálvame de la oscuridad
(Despiértame) Ordena a mi sangre que corra
(No puedo despertar) Antes de que quede deshecha
(Sálvame) Sálvame de la nada en la que me he convertido

Tráeme a la vida
He estado viviendo una mentira
No hay nada dentro
Tráeme a la vida

Congelada por dentro (Congelada por dentro)
Sin tus caricias (Sin tus caricias), sin tu amor
Cariño, solo tú (Solo tú)
Eres la vida entre los muertos

Todo este tiempo, no puedo creer que no haya podido ver
Oculto en la oscuridad, pero tú estabas ahí enfrente de mí
Parece que llevo mil años durmiendo
Tengo que abrir mis ojos a todo
Sin un pensamiento, sin una voz, sin alma
No me dejes morir aquí
Debe haber algo más
Tráeme a la vida

(Despiértame) Despiértame por dentro
(No puedo despertar) Despiértame por dentro
(Sálvame) Llama por mi nombre y sálvame de la oscuridad
(Despiértame) Ordena a mi sangre que corra
(No puedo despertar) Antes de que quede deshecha
(Sálvame) Sálvame de la nada en la que me he convertido

Tráeme a la vida
He estado viviendo una mentira (Tráeme a la vida)
No hay nada dentro
Tráeme a la vida","Gothic Rock, rock, female vocalists, alternative, Gothic"
