,No.,Title,Artist(s)
0,1,"""Low""",Flo Rida featuring T-Pain
1,2,"""Bleeding Love""",Leona Lewis
2,3,"""No One""",Alicia Keys
3,4,"""Lollipop""",Lil Wayne featuring Static Major
4,5,"""Apologize""",OneRepublic
5,6,"""No Air""",Jordin Sparks and Chris Brown
6,7,"""Love Song""",Sara Bareilles
7,8,"""Love in This Club""",Usher featuring Young Jeezy
8,9,"""With You""",Chris Brown
9,10,"""Forever""",Chris Brown
10,11,"""Sexy Can I""",Ray J featuring Yung Berg
11,12,"""Take a Bow""",Rihanna
12,13,"""Viva la Vida""",Coldplay
13,14,"""I Kissed a Girl""",Katy Perry
14,15,"""Whatever You Like""",T.I.
15,16,"""Disturbia""",Rihanna
16,17,"""Don't Stop the Music""",Rihanna
17,18,"""Pocketful of Sunshine""",Natasha Bedingfield
18,19,"""Kiss Kiss""",Chris Brown featuring T-Pain
19,20,"""Closer""",Ne-Yo
20,21,"""Bubbly""",Colbie Caillat
21,22,"""Touch My Body""",Mariah Carey
22,23,"""4 Minutes""",Madonna featuring Justin Timberlake and Timbaland
23,24,"""So What""",Pink
24,25,"""Paralyzer""",Finger Eleven
25,26,"""Clumsy""",Fergie
26,27,"""I'm Yours""",Jason Mraz
27,28,"""Leavin'""",Jesse McCartney
28,29,"""Dangerous""",Kardinal Offishall featuring Akon
29,30,"""Tattoo""",Jordin Sparks
30,31,"""See You Again""",Miley Cyrus
31,32,"""Shake It""",Metro Station
32,33,"""Stop and Stare""",OneRepublic
33,34,"""Take You There""",Sean Kingston
34,35,"""Paper Planes""",M.I.A.
35,36,"""Hot n Cold""",Katy Perry
36,37,"""Live Your Life""",T.I. featuring Rihanna
37,38,"""Bust It Baby (Part 2)""",Plies featuring Ne-Yo
38,39,"""American Boy""",Estelle featuring Kanye West
39,40,"""Got Money""",Lil Wayne featuring T-Pain
40,41,"""Our Song""",Taylor Swift
41,42,"""Damaged""",Danity Kane
42,43,"""A Milli""",Lil Wayne
43,44,"""Sorry""",Buckcherry
44,45,"""Independent""",Webbie featuring Lil Boosie and Lil Phat
45,46,"""Can't Believe It""",T-Pain featuring Lil Wayne
46,47,"""Like You'll Never See Me Again""",Alicia Keys
47,48,"""Teardrops on My Guitar""",Taylor Swift
48,49,"""When I Grow Up""",Pussycat Dolls
49,50,"""Sexual Eruption""",Snoop Dogg
50,51,"""What You Got""",Colby O'Donis featuring Akon
51,52,"""It's Not My Time""",3 Doors Down
52,53,"""Better in Time""",Leona Lewis
53,54,"""Crank That (Soulja Boy)""",Soulja Boy Tell 'Em
54,55,"""Shadow of the Day""",Linkin Park
55,56,"""Sweetest Girl (Dollar Bill)""","Wyclef Jean featuring Akon, Lil Wayne and Niia"
56,57,"""Miss Independent""",Ne-Yo
57,58,"""Fall for You""",Secondhand Serenade
58,59,"""In the Ayer""",Flo Rida featuring will.i.am
59,60,"""Say""",John Mayer
60,61,"""One Step at a Time""",Jordin Sparks
61,62,"""Hate That I Love You""",Rihanna featuring Ne-Yo
62,63,"""Superstar""",Lupe Fiasco featuring Matthew Santos
63,64,"""Suffocate""",J. Holiday
64,65,"""Let It Rock""",Kevin Rudolf featuring Lil Wayne
65,66,"""Get Like Me""",David Banner featuring Chris Brown and Yung Joc
66,67,"""Realize""",Colbie Caillat
67,68,"""Put On""",Young Jeezy featuring Kanye West
68,69,"""The Time of My Life""",David Cook
69,70,"""Lolli Lolli (Pop That Body)""",Three 6 Mafia
70,71,"""Cyclone""",Baby Bash featuring T-Pain
71,72,"""Love Like This""",Natasha Bedingfield featuring Sean Kingston
72,73,"""Burnin' Up""",Jonas Brothers
73,74,"""Love Lockdown""",Kanye West
74,75,"""I Luv Your Girl""",The-Dream
75,76,"""Crush""",David Archuleta
76,77,"""Hypnotized""",Plies featuring Akon
77,78,"""Big Girls Don't Cry""",Fergie
78,79,"""Good Life""",Kanye West featuring T-Pain
79,80,"""Womanizer""",Britney Spears
80,81,"""Love Story""",Taylor Swift
81,82,"""Just Fine""",Mary J. Blige
82,83,"""Piece of Me""",Britney Spears
83,84,"""The Boss""",Rick Ross featuring T-Pain
84,85,"""All Summer Long""",Kid Rock
85,86,"""Can't Help but Wait""",Trey Songz
86,87,"""In Love with a Girl""",Gavin DeGraw
87,88,"""My Life""",The Game featuring Lil Wayne
88,89,"""I Remember""",Keyshia Cole
89,90,"""Flashing Lights""",Kanye West featuring Dwele
90,91,"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd
91,92,"""7 Things""",Miley Cyrus
92,93,"""You're Gonna Miss This""",Trace Adkins
93,94,"""Love Remains the Same""",Gavin Rossdale
94,95,"""Feels Like Tonight""",Daughtry
95,96,"""The Way I Are""",Timbaland featuring Keri Hilson
96,97,"""Addicted""",Saving Abel
97,98,"""Into the Night""",Santana featuring Chad Kroeger
98,99,"""Heaven Sent""",Keyshia Cole
99,100,"""She Got It""",2 Pistols featuring T-Pain and Tay Dizm
