Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Love Will Keep Us Together""",Captain & Tennille,"19 ContributorsLove Will Keep Us Together Lyrics“Love Will Keep Us Together” is a track and the title song from Captain & Tennille’s 1975 debut album. It was written by Neil Sedaka and Howard Greenfield.
The song originally appeared on Neil Sedaka’s 1973… Read More 
Love
Love will keep us together
Think of me, babe whenever
Some sweet talking girl comes along
Singing his song
Don't mess around
You just got to be strong

Just stop
'Cause I really love you
Stop, I'll be thinking of you
Look in my heart
And let love keep us together

You
You belong to me now
Ain't gonna set you free now
When those girls start hanging around
Talking me down
Hear with your heart
And you won't hear a sound

Just stop
'Cause I really love you
Stop, I'll be thinking of you
Look in my heart
And let love keep us together

Young and beautiful
Someday your looks will be gone
When the others turn you off
Who'll be turnin' you on
I will, I will, I will
I will, be there to share forever
Love will keep us together
I said it before
And I'll say it again
While others pretend
I need you now and I need you then

Just stop
'Cause I really love you
Stop, I'll be thinking of you
Look in my heart
And let love keep us together
Whatever
Whatever, I will, I will, I will, I will
You better stop
'Cause I really love you
Stop, I've been thinkin' of you
Look in my heart
And let love keep us together
Whatever
Whatever, I will, I will, I will

Sedaka is back!",
1,2,"""Rhinestone Cowboy""",Glen Campbell,"33 ContributorsRhinestone Cowboy Lyrics“Rhinestone Cowboy” was written by Larry Weiss & produced by Dennis Lambert and Brian Potter.
Larry wrote & recorded the song which appeared on his album “Black and Blue Suite” to no commercial success.
In… Read More 
I've been walkin' these streets so long
Singin' the same old song
I know every crack in these dirty sidewalks of Broadway
Where hustle's the name of the game
And nice guys get washed away like the snow and the rain

There's been a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me

Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Getting cards and letters from people I don't even know
And offers comin' over the phone

Well, I really don't mind the rain
And a smile can hide all the pain
But you're down when you're ridin' the train that's taking the long way
And I dream of the things I'll do
With a subway token and a dollar tucked inside my shoe

There'll be a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me

Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Rhinestone cowboy
Gettin' cards and letters from people I don't even know
And offers comin' over the phone

Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Gettin' cards and letters from people I don't even know
Like a rhinestone cowboy",
2,3,"""Philadelphia Freedom""",Elton John,"26 ContributorsPhiladelphia Freedom LyricsAn Elton John/Bernie Taupin composition, produced by Gus Dudgeon, “Philadelphia Freedom” was released as a single February 24, 1975.
Written as a favour to John’s friend, tennis legend Billie Jean King, who… Read More 
I used to be a rollin' stone, ya know
If a cause was right
I'd leave to find the answer on the road
I used to be a heart beatin' for someone
But the times have changed
The less I say, the more my work gets done

'Cause I live and breathe this Philadelphia freedom
From the day that I was born, I've waved the flag
Philadelphia freedom took me knee-high to a man, yeah
Gave me peace of mind my daddy never had

Oh, Philadelphia freedom, shine on me, an' I love ya
Shine the light through the eyes of the ones left behind
Shine the light, shine the light
Shine the light, won't you shine the light?
Philadelphia freedom, I love ya
Yes, I do


If you choose to, you can live your life alone
Some people choose the city (Some people choose the city)
Some others choose the good old family home
(Some others choose the good old family home)
I like livin' easy without family ties ('Livin easy)
'Til the whippoorwill of freedom zapped me
Right between the eyes

'Cause I live and breathe this Philadelphia freedom
From the day that I was born, I've waved the flag
Philadelphia freedom took me knee-high to a man, mm-hmm
Gave me peace of mind my daddy never had

Oh, Philadelphia freedom, shine on me, I love ya
Shine the light through the eyes of the ones left behind
Shine the light, shine the light
Shine the light, won't you shine the light?
Philadelphia freedom, I love ya
Yes, I do


Oh, Philadelphia freedom, shine on me, an' I love ya
Shine the light through the eyes of the ones left behind
Shine the light, shine the light
Shine the light, won't you shine the light?
Philadelphia freedom, I love
Don't you know I love, yeah?
Don't you know I love you?

Yes, I do! (Philadelphia freedom) I love you
(Yes, I do! Philadelphia freedom) You know that I love you
(Yes, I do! Philadelphia freedom) Don't you know that I love you?
(Yes, I do! Philadelphia freedom) Don't you know that I love you?
(Yes, I do! Philadelphia freedom) Don't you know that I love you?
(Yes, I do! Philadelphia freedom) Don't you know that I love you?
(Yes, I do...)",
3,4,"""Before the Next Teardrop Falls""",Freddy Fender,"10 ContributorsBefore the Next Teardrop Falls Lyrics
If he brings you happiness
Then I wish you all the best
It's your happiness that matters most of all
But if he ever breaks your heart
If the teardrops ever start
I'll be there before the next teardrop falls

Si te quiere de verdad
Y te da felicidad
Te deseo lo mas bueno pa' los dos
Pero si te hace llorar
A mí me puedes hablar
Y estaré contigo cuando triste estás

I'll be there anytime
You need me by your side
To dry away every teardrop that you cried
And if he ever leaves you blue
Just remember, I love you
And I'll be there before the next teardrop falls

And I'll be there before the next teardrop falls",
4,5,"""My Eyes Adored You""",Frankie Valli,"17 ContributorsMy Eyes Adored You LyricsMy Eyes Adored You was featured on Frankie Valli’s third album Closeup.
The song was originally recorded by The Four Seasons in early 1974. After their record label, MoWest Records balked at the idea of… Read More 

My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me, you couldn't see
How I adored you
So close, so close
And yet so far

Carried your books from school
Playing make-believe you're married to me
You were fifth grade, I was sixth
When we came to be

Walking home every day, over
Barnegat Bridge and Bay
'Til we grew into the me and you
Who went our separate ways

My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you
So close, so close
And yet so far

Headed for city lights
Climbed the ladder up to fortune and fame
I worked my fingers to the bone
Made myself a name

Funny, I seem to find
That no matter how the years unwind
Still I reminisce 'bout the girl I miss
And the love I left behind

My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you
So close, so close
And yet so far

All my life I will remember
How warm and tender we were way back then
Though I'm feeling sad regrets
I know I won't ever forget you, my childhood friend


My eyes adored you
Though I never laid a hand on you
My eyes adored you
Like a million miles away from me you couldn't see
How I adored you
So close, so close
And yet so far",
5,6,"""Some Kind of Wonderful""",Grand Funk Railroad,"17 ContributorsSome Kind of Wonderful LyricsA cover of the Soul Brothers Six’s minor hit from 1967, this version reached #3 on the Billboard chart in 1975 and appeared on Grand Funk Railroad’s ninth album All the Girls in the World Beware!!!
Grand… Read More 
I don't need a whole lots of money
I don't need a big fine car
I got everything that a man could want
I got more than I could ask for
I don't have to run around
I don't have to stay out all night
'Cause I got me a sweet, a sweet, lovin' woman
And she knows just how to treat me right

Well, my baby, she's alright
Well, my baby, she's clean out-of-sight
Don't you know that she's, she's some kind of wonderful?
She's some kind of wonderful, yes, she is, she's
She's some kind of wonderful, yeah, yeah, yeah, yeah

When I hold her in my arms
You know she sets my soul on fire
Ooh, when my baby kisses me
My heart becomes filled with desire
When she wraps her lovin' arms around me
About drives me out of my mind
Yeah, when my baby kisses me
Chills run up and down my spine

Well, my baby, she's alright
Well, my baby, she's clean out-of-sight
Don't you know that she is, she's some kind of wonderful?
She's some kind of wonderful, yes, she is
She's some kind of wonderful, yeah, yeah, yeah, yeah

Now is there anybody, got a sweet little woman like mine?
There got to be somebody, got a, got a sweet little woman like mine, yeah
Now, can I get a witness?
Can I get a witness?
Can I get a witness? Yeah
Can I get a witness? Oh
Can I get a witness? Yeah
Can I get a witness? Yeah, yes

I'm talkin', talkin' 'bout my baby, yeah
She's some kind of wonderful
Talkin' 'bout my baby
She's some kind of wonderful
Talkin' 'bout my baby
She's some kind of wonderful
I'm talkin' 'bout my baby, my baby, my baby
She's some kind of wonderful
I'm talkin' about my baby, my baby, my baby
She's some kind of wonderful
Yeah, yeah, yeah, yeah, my baby, my baby
She's some kind of wonderful
Talkin' 'bout my baby, my baby, my baby
She's some kind of wonderful
I'm talkin' 'bout my baby, my baby, my baby
She's some kind of wonderful
Talking 'bout my babe
She's some kind of wonderful
She's some kind of wonderful",
6,7,"""Shining Star""","Earth, Wind & Fire","24 ContributorsShining Star Lyrics“Shining Star” was Earth, Wind & Fire’s first major hit. While the disco era was all about having fun and having a good time, the song promotes a more distinct positive message during the 1970s, expressing to… Read More 
Yeah, hey, hey

When you wish upon a star
Your dreams will take you very far, yeah
But when you wish upon a dream
Life ain't always what it seems, oh, yeah
What you see on nights so clear, hey?
In the sky so very dear, yeah?

You're a shining star
No matter who you are
Shining bright to see
What you could truly be
(What you could truly be)

Shining star come into view
To shine its watchful light on you
Give you strength to carry on, yeah
Yeah, make your body big and strong, yeah
Born a man-child of the sun, yeah
Yeah, saw my work had just begun
Yeah, found I had to stand alone, yeah
Bless it now
I've got my own
Oh yeah, oh yeah

So, if you find yourself in need
Why don't you listen
To these words of heed
Be a giant or grain of sand
Words of wisdom
Yes, I can

You're a shining star
No matter who you are
Shining bright to see
What you could truly be
You're a shining star
No matter who you are
Shining bright to see
What you could truly be
You're a shining star
No matter who you are
Shining bright to see
What you could truly be

Shining star for you to see
What your life can truly be

Shining star for you to see
What your life can truly be
Shining star for you to see
What your life can truly be",
7,8,"""Fame""",David Bowie,"48 ContributorsFame LyricsRecorded in 1975. Topped the Billboard chart in September that year. Co-written with John Lennon in New York. Lennon can be heard in the recording contributing the high voice.
Fame (Fame) makes a man take things over
Fame (Fame) lets him loose, hard to swallow
Fame (Fame) puts you there where things are hollow
Fame (Fame)

Fame, not your brain, it's just the flame
That burns your change to keep you insane ('Sane)
Fame (Fame), hmm

Fame (Fame), what you like is in the limo
Fame (Fame), what you get is no tomorrow
Fame (Fame), what you need, you have to borrow
Fame (Fame)

Fame, ""Nein, it's mine"" is just his line
To bind your time, it drives you to crime (Crime)
Fame (Fame)

Ribbity-bee-gah-beh, ribbity-bee
Ribbity-ree, ribbit, ribbity-bay
Ribbity-bee-ba-bay, ribbity-bay
Ribbity-bay, ribbity-bay

Is it any wonder I reject you first?
Fame, fame, fame, fame
Is it any wonder you are too cool to fool?
Fame (Fame)

Fame, bully for you, chilly for me
Got to get a rain check on pain (Pain)
(Fame)

Fame, fame, fame, fame, fame, fame, fame, fame
Fame, fame, fame, fame, fame, fame, fame, fame
Fame, fame, fame, fame, fame, fame, fame
Fame
What's your name?
Get me some fame (Fame)
Now get-a fame (Fame)",
8,9,"""Laughter in the Rain""",Neil Sedaka,"10 ContributorsLaughter In The Rain LyricsAccording to songwriter Phil Cody, he reported that he wrote the song’s lyrics to “Laughter in the Rain” in five minutes after he smoked a joint and nodded off underneath a tree for a couple of hours.
The… Read More 
Strolling along country roads with my baby
It starts to rain, it begins to pour
Without an umbrella, we're soaked to the skin
I feel a shiver run up my spine
I feel the warmth of her hand in mine

Oh, I hear laughter in the rain
Walking hand in hand with the one I love
Oh, how I love the rainy days
And the happy way I feel inside

After a while we run under a tree (After a while)
I turn to her and she kisses me
There with the beat of the rain on the leaves (There with the beat)
Softly she breathes and I close my eyes
Sharing our love under stormy skies

Oh, I hear laughter in the rain
Walking hand in hand with the one I love
Oh, how I love the rainy days
And the happy way I feel inside


I feel the warmth of her hand in mine

Oh, I hear laughter in the rain
Walking hand in hand with the one I love
Oh, how I love the rainy days
And the happy way I feel inside
Oh, I hear laughter in the rain
Walking hand in hand with the one I love
Oh, how I love the rainy days
And the happy way I feel inside",
9,10,"""One of These Nights""",Eagles,"47 ContributorsOne of These Nights Lyrics“One of These Nights” was written by Don Henley and Glenn Frey. It was produced by Bill Szymczyk. According to Glenn Frey, the song is about putting things off. He said:
“We’ve all said ‘One of these nights… Read More 
One of these nights
One of these crazy old nights
We're gonna find out, pretty mama
What turns on your lights

The full moon is calling, the fever is high
And the wicked wind whispers and moans
You got your demons and you got desires
Well, I got a few of my own

Ooh, someone to be kind to
In between the dark and the light
Ooh, coming right behind you
Swear I'm gonna find you one of these nights

One of these dreams
One of these lost and lonely dreams, now
We're gonna find one
Mmm, one that really screams

I've been searching for the daughter of the devil himself
I've been searching for an angel in white
I've been waiting for a woman who's a little of both
And I can feel her, but she's nowhere in sight

Ooh, loneliness will blind you
In between the wrong and the right (oh, oh, oh)
Ooh, coming right behind you
Swear I'm gonna find you one of these nights


(One of these nights)
Mmm, in between the dark and the light
Comin' right behind you
Swear I'm gonna find you
Get you, baby, one of these nights
(One of these nights)
Hoo, hoo-hoo
Hoo, hoo-hoo
(One of these nights)
I can feel you
I can feel
(One of these nights)
Comin' right behind you
Swear I'm gonna find you, now
(One of these nights)
And it gets so dark
So dark and cold and lonely
One of these nights
One of these crazy, crazy, crazy nights
(One of these nights)
Swear I'm gonna find you
Comin' right behind you, now
(One of these nights)
Hoo, hoohoooo
(One of these nights)
And I wanna say, ahhh
(One of these nights)
Ahh, one of these, one of these
(One of these nights)
Ahh, comin' right behind you
Swear I'm gonna find you
(One of these nights)
One of these nights
One of these crazy old nights
(One of these nights)",
