Unnamed: 0,No.,Title,Artist(s),lyrics,genres
0,1,"""Careless Whisper""",Wham!,"4 ContributorsTranslationsРусский (Russian)Careless Whisper (Album Version) Lyrics
Time can never mend
The careless whispers of a good friend
To the heart and mind, ignorance is kind
There's no comfort in the truth, pain is all you'll find
Should have known better, yeah


Oh, woah, woah, oh
Mm

I feel so unsure
As I take your hand and lead you to the dance floor
As the music dies, something in your eyes
Calls to mind a silver screen and all its sad goodbyes

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool
I should have known better than to chеat a friend
And waste the chancе that I'd been given
So I'm never gonna dance again
The way I danced with you, oh

Time can never mend
The careless whispers of a good friend
To the heart and mind, ignorance is kind
There's no comfort in the truth, pain is all you'll find

I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool
I should have known better than to cheat a friend (Shoulda known better, yeah)
And waste the chance that I'd been given
So I'm never gonna dance again
The way I danced with you, oh

Never without your love


Tonight, the music seems so loud
I wish that we could lose this crowd
Maybe it's better this way
We'd hurt each other with the things we want to say
We could have been so good together
We could have lived this dance forever
But now, who's gonna dance with me?
Please stay

And I'm never gonna dance again
Guilty feet have got no rhythm
Though it's easy to pretend
I know you're not a fool
I should have known better than to cheat a friend
And waste the chance that I'd been given
So I'm never gonna dance again
The way I danced with you, oh


(Now that you're gone) Now that you're gone
(Now that you're gone) Was what I did so wrong, so wrong
That you had to leave me alone?","pop, 80s, new wave, british, dance"
1,2,"""Like a Virgin""",Madonna,"51 ContributorsTranslationsPortuguêsItalianoEspañolLike a Virgin LyricsThe lead single of its namesake album and Madonna’s first of several US chart-toppers, “Like A Virgin” hit #1 at the end of 1984, three months after one of her most iconic live performances, at the 1984 VMAs.… Read More 
I made it through the wilderness
Somehow I made it through
Didn't know how lost I was
Until I found you
I was beat, incomplete
I'd been had, I was sad and blue
But you made me feel
Yeah, you made me feel
Shiny and new, hoo

Like a virgin
Touched for the very first time
Like a virgin
When your heart beats next to mine

Gonna give you all my love, boy
My fear is fadin' fast
Been savin' it all for you
'Cause only love can last
You're so fine and you're mine
Make me strong, yeah, you make me bold
Oh, your love thawed out
Yeah, your love thawed out
What was scared and cold

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Woah
Woah (Ah)
Woah

You're so fine and you're mine
I'll be yours 'til the end of time
'Cause you made me feel
Yeah, you made me feel
I've nothin' to hide

Like a virgin, hey
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Like a virgin
Ooh, like a virgin
Feels so good inside
When you hold me
And your heart beats
And you love me
Oh-oh, oh-oh
Oh-oh, oh-oh, oh
Ooh, baby
Yeah, can't you hear my heart beat
For the very first time?","pop, dance, female vocalists, 80s, electronic"
2,3,"""Wake Me Up Before You Go-Go""",Wham!,"79 ContributorsTranslationsDeutschWake Me Up Before You Go-Go LyricsThe idea for the chorus of the song came from a note left by bandmate Andrew Ridgeley:
Don’t forget to wake me up up before you go go, George
Apparently it wasn’t a cute way of saying “before you go”, it… Read More 
Jitterbug
Jitterbug
Jitterbug
Jitterbug

You put the boom boom into my heart
You send my soul sky high when your lovin' starts
Jitterbug into my brain (Yeah, yeah)
Goes a bang-bang-bang 'til my feet do the same

But something's buggin' me
Something ain't right
My best friend told me what you did last night
Left me sleepin' in my bed
I was dreamin' but I should've been with you instead

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high
Yeah, yeah

You take the grey skies out of my way
You make the sun shine brighter than Doris Day
Turned a bright spark into a flame (Yeah, yeah)
My beats per minute never been the same

'Cause you're my lady, I'm your fool
It makes me crazy when you act so cruel
Come on, baby, let's not fight
We'll go dancing, everything will be all right

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high
Yeah, yeah, yeah
Baby

Jitterbug
Jitterbug

Cuddle up, baby, move in tight
We'll go dancing tomorrow night
It's cold out there, but it's warm in bed
They can dance, we'll stay home instead
Jitterbug

Wake me up before you go-go
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't wanna miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
Wake me up before you go-go
(Don't you dare, to leave me hanging on like a yo-yo-yo-yo-yo)
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
(Take me dancing)
I don't wanna miss it when you hit that high
(A boom-boom-boom-boom, oh)
Wake me up before you go-go
'Cause I'm not plannin' on going solo
(A boom-boom-boom-boom, yeah, yeah, yeah!)
Wake me up before you go-go
Take me dancing tonight
Yeah, yeah","pop, 80s, new wave, british, dance"
3,4,"""I Want to Know What Love Is""",Foreigner,"62 ContributorsI Want to Know What Love Is Lyrics“I Want to Know What Love Is” is an overwrought power ballad by British-American rock group Foreigner. It was the lead single off Agent Provocateur and is their biggest hit to date.
The song reached #1 in… Read More 
I've gotta take a little time
A little time to think things over
I better read between the lines
In case I need it when I'm older

Now, this mountain, I must climb
Feels like the world upon my shoulders
Through the clouds, I see love shine
It keeps me warm as life grows colder

In my life, there's been heartache and pain
I don't know if I can face it again
Can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me
Oh

I'm gonna take a little time
A little time to look around me
I've got nowhere left to hide
It looks like love has finally found me

In my life, there's been heartache and pain
I don't know if I can face it again
Can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me
I wanna know what love is
I want you to show me

(And I wanna feel) I wanna feel what love is
(And I know) I know you can show me
Let's talk about love
(I wanna know what love is) The love that you feel inside
(I want you to show me) And I'm feelin' so much love
(I wanna feel what love is) No, you just cannot hide
(I know you can show me) Yeah
I wanna know what love is (Let's talk about love)
I want you to show me, I wanna feel
(I wanna feel what love is) And I know, and I know
I know you can show me (Yeah)
(I wanna know what love is) (I wanna know)
(I want you to show me) I wanna know, I wanna know, wanna know
(I wanna feel what love is) (I wanna feel)
(I know you can show me)","classic rock, rock, hard rock, 80s, pop"
4,5,"""I Feel for You""",Chaka Khan,"31 ContributorsI Feel for You LyricsGrandmaster Melle Mel’s lines are his own; Chaka Khan’s lines are almost all from Prince’s original version.
Fun Fact: The Pointer Sisters really wanted to run wild on “I Feel for You” two years before Chaka… Read More 
Chaka, Chaka, Chaka, Chaka Khan
Chaka Khan, Chaka Khan, Chaka Khan

Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, that's all I wanna do
Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, 'cause I feel for you
Chaka Khan, would you tell me what you wanna do?
Do you feel for me the way I feel for you?
Chaka Khan, let me tell you what I wanna do
I wanna love you, wanna hug you, wanna squeeze you too
So let me take you in my arms
Let me fill you with my charms, Chaka
'Cause you know that I'm the one to keep you warm, Chaka
I'll make you more than just a physical dream
I wanna rock you, Chaka
Baby, 'cause you make me wanna scream
Let me rock you, rock you

Baby, baby, when I look at you
I get a warm feeling inside
There's something about the things you do
That keeps me satisfied

I wouldn't lie to you, baby
It's mainly a physical thing
This feeling that I got for you, baby
Makes me wanna sing

I feel for you
I think I love you
I feel for you
I think I love you

Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, that's all I wanna do
Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, 'cause I feel for you
Feel for you

Baby, baby, when I lay with you
There's no place I'd rather be
I can't believe, can't believe it's true
The things that you do to me

I wouldn't lie to you, baby
I'm physically attracted to you
This feeling that I got for you, baby
There's nothing that I wouldn't do

I feel for you
I think I love you
I feel for you
I think I love you

Whoa-oh, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh, oh-oh, ooh-ooh

Yes sir, one more time
Say yeah
I feel for you (I think I love you)
I feel for you (I, I, I think I love you)

Chaka Khan, Chaka Khan, Chaka Khan
Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, that's all I wanna do
Chaka Khan, let me rock you
Let me rock you, Chaka Khan
Let me rock you, 'cause I feel for you
Chaka Khan, would you tell me what you wanna do?
Do you feel for me, the way I feel for you?
Chaka Khan, let me tell you what I wanna do
I wanna love you, wanna hug you, wanna squeeze you, too
So let me take you in my arms
Let me fill you with my charms, Chaka
'Cause you know that I'm the one to keep you warm, Chaka
I'll make you more than just a physical dream
I wanna rock you, Chaka
Baby, 'cause you make me wanna scream
Feel for you

I feel for you (Ooh, feel for you)
I feel it, too (Ooh, feel for you)
I feel for you (Ooh, feel for you)

I feel for you
I think I love you
I feel for you
I think I love you
I feel for you
I think I love you
I feel for you
I think I love you
I feel for you
I think I love you
I feel for you
I think I love you","soul, funk, female vocalists, 80s, rnb"
5,6,"""Out of Touch""",Daryl Hall & John Oates,"46 ContributorsOut of Touch LyricsProducer Arthur Baker, known for his recent work on the breakdancing film Beat Street, was recruited to give “Out Of Touch” a distinctly urban feel. It was released as Hall & Oates' first single from their… Read More 
Shake it up is all that we know
Using the bodies up as we go
I'm wakin' up to fantasy
The shades all around aren't the colors we used to see
Broken ice still melts in the sun
And times that are broken can often be one again
We're soul alone
And soul really matters to me
Take a look around

You're out of touch
I'm out of time (Time)
But I'm out of my head
When you're not around
You're out of touch
I'm out of time (Time)
But I'm out of my head
When you're not around
Oh, oh-oh-oh, oh-oh-oh

Reachin' out for something to hold
Looking for a love where the climate is cold
Manic moves and drowsy dreams
Or livin' in the middle between the two extremes
Smoking guns hot to the touch
Would cool down if we didn't
Use them so much, yeah
We're soul alone
And soul really matters to me
Too much

You're out of touch
I'm out of time (Time)
But I'm out of my head
When you're not around
You're out of touch
I'm out of time (Time)
But I'm out of my head
When you're not around
Oh, oh-oh-oh, oh-oh-oh
Ooh
Oh, oh-oh-oh, oh-oh-oh

Out of touch
Out of touch
Wow

You're out of touch
I'm out of time
But I'm out of my head
When you're not around
You're out of touch
I'm out of time (Time)
But I'm out of my head
When you're not around (Oh, 'round)
You're out of touch (We're soul alone, girl)
I'm out of time
But I'm out of my head
When you're not around
You're out of touch
I'm out of time
(Out of touch, out of time, out of touch, out of time, girl)
But I'm out of my head
When you're not around
You're out of touch (Reach out for something to hold), time
But I'm out of my head
When you're not around
(You're too cold, girl, too cold, girl, too cold, girl, yeah)
You're out of touch
I'm out of time
Not around
You're out of touch
I'm out of time
(Out of touch, out of time, out of touch, out of time)
(Out of touch, out of time, girl)
But I'm out of my head
When you're not around
You're out of touch
Yeah, I'm out of time
But I'm out of my head
When you're not around
You're out of touch (Focus)
I'm out of time","80s, pop, soft rock, classic rock, rock"
6,7,"""Everybody Wants to Rule the World""",Tears for Fears,"157 ContributorsTranslationsPolskiFrançaisDeutschРусский (Russian)УкраїнськаEverybody Wants to Rule the World LyricsTears For Fears' biggest chart hit, peaking at #2 in their home country of Britain and topping the charts in the US, Canada and New Zealand. Although a massive hit, Rule The World almost wasn’t recorded. The… Read More 
Welcome to your life
There's no turning back
Even while we sleep
We will find you

Acting on your best behaviour
Turn your back on Mother Nature
Everybody wants to rule the world

It's my own design
It's my own remorse
Help me to decide
Help me make the

Most of freedom and of pleasure
Nothing ever lasts forever
Everybody wants to rule the world
There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do, I'll be right behind you

So glad we've almost made it
So sad they had to fade it
Everybody wants to rule the...


I can't stand this indecision
Married with a lack of vision
Everybody wants to rule the—
Say that you'll never, never, never, never need it
One headline, why believe it?
Everybody wants to rule the world
All for freedom and for pleasure
Nothing ever lasts forever
Everybody wants to rule the world","new wave, 80s, synth pop, pop, rock"
7,8,"""Money for Nothing""",Dire Straits,"125 ContributorsTranslationsDeutschMoney for Nothing LyricsThe most successful Dire Straits single, “Money for Nothing” is inspired by Mark Knopfler listening to a man complaining about the musicians that emerged in the 1980s.
The song features an introduction with… Read More 
I want my, I want my MTV
I want my, I want my MTV
I want my, I want my MTV
I want my, I want my MTV


Hah, now look at them yo-yos, that's the way you do it
You play the guitar on the MTV
That ain't workin', that's the way you do it
Money for nothing and your chicks for free
Now that ain't workin', that's the way you do it
Lemme tell ya, them guys ain't dumb
Maybe get a blister on your little finger
Maybe get a blister on your thumb

We got to install microwave ovens
Custom kitchen deliveries
We got to move these refrigerators
We got to move these colour TVs

See the little faggot with the earring and the makeup?
Yeah buddy, that's his own hair
That little faggot got his own jet airplane
That little faggot, he's a millionaire

We got to install microwave ovens
Custom kitchen deliveries
We got to move these refrigerators
We got to move these colour TVs

Hoover, move-ah, huh
Got to install microwave ovens
Custom kitchen deliveries
He's gotta move these refrigerators
Got to move these colour TVs
Look-ee here, look at it

I shoulda learned to play the guitar
I shoulda learned to play them drums
Look at that mama, she got it sticking in the camera, man
Man, we could have some
And he's up there, what's that? Hawaiian noises?
He's banging on the bongos like a chimpanzee
Oh, that ain't workin', that's the way you do it
Get your money for nothing, get your chicks for free

We got to install microwave ovens
Custom kitchen deliveries
We got to move these refrigerators
We got to move these colour TVs

*dog howling*

Listen here, now, that ain't workin', that's the way you do it
You play the guitar on the MTV
That ain't workin', that's the way you do it
Money for nothing, and your chicks for free

Money for nothing
Chicks for free
Get your money for nothing
And your chicks for free
Oh, heh, money for nothing
Ch-ch, and your chicks for free
Get your money for nothing
And the chicks for free
(Money for nothing) Ooh, money, money for nothing
And the chicks for free
Get your money for nothing
Get your chicks for free
Ow, get your money for nothing (Yeah)
And the chicks for free
Get your money for nothing (What's that?)
And the chicks for free (Look at that, look at that)
Get your money for nothing (I want my, I want my)
(Bozos) And the chicks for free (I want my MTV)
Money for nothing (I want my, I want my)
And the chicks for free (I want my MTV)
Get your money for nothing (I want my, I want my)
And the chicks for free (I want my MTV)
Ah, get your money for nothing (I want my, I want my)
And the chicks for free (I want my MTV)
Easy, easy, get your money for nothing (I want my, I want my)
Easy, easy, and the chicks for free (I want my MTV)
Easy, easy, get your money for nothing (I want my, I want my)
And the chicks for free (I want my MTV)
That ain't working


Money for nothing, chicks for free
Money for nothing, chicks for free","classic rock, rock, 80s, blues, guitar"
8,9,"""Crazy for You""",Madonna,"16 ContributorsTranslationsPortuguêsCrazy for You Lyrics“Crazy for You” is a song by Madonna from the soundtrack album to the 1985 film, Vision Quest. The song was written by John Bettis and Jon Lind, and was officially released on February 13, 1985 as the first… Read More 
Swaying room, as the music starts
Strangers making the most of the dark
Two by two, their bodies become one
I see you through the smoky air
Can't you feel the weight of my stare?
You're so close, but still a world away
What I'm dying to say is that

I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
I'm crazy for you
Crazy for you

Trying hard to control my heart
I walk over to where you are
Eye to eye, we need no words at all
Slowly now, we begin to move
Every breath, I'm deeper into you
Soon we two are standing still in time
If you read my mind, you'll see

I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
You'll feel it in my kiss
Because I'm crazy for you
Touch me once and you'll know it's true
I never wanted anyone like this
It's all brand new
You'll feel it in my kiss
I'm crazy for you
Crazy for you
Crazy for you
Crazy for you

It's all brand new
I'm crazy for you
And you know it's true
I'm crazy, crazy for you
It's all brand new, I'm crazy for you
And you know it's true, yeah
I'm crazy for you
Crazy for you, baby
I'm crazy for you
Crazy for you, baby","pop, dance, female vocalists, 80s, electronic"
9,10,"""Take On Me""",a-ha,"148 ContributorsTranslationsPortuguêsDeutschTake on Me Lyrics“Take on Me” is a synthpop song that combines  various instrumentation that includes acoustic guitars, keyboards, and drums. It was released as a-ha’s debut single in September 1984 to huge success in their… Read More 
We're talking away
No, I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shyin' away
I'll be comin' for your love, okay?

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two

So, needless to say
I'm odds and ends
But I'll be stumblin' away
Slowly learnin' that life is okay
Say after me
""It's no better to be safe than sorry""

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two


Oh, things that you say
Yeah, is it life or just to play
My worries away?
You're all the things I've got to remember
You're shyin' away
I'll be comin' for you anyway

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day

(Take on me) (Take on me)
(Take me on) (Take on me)
I'll be gone (Take on me) (Take on me)
In a day (Take me on) (Take on me)
(Take on me) (Take on me)
(Take me on) (Take on me)
(Take on me)","new wave, pop, 80s, synth pop, norwegian"
