Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""That's What Friends Are For""","Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)","20 ContributorsThat’s What Friends Are For LyricsOriginally written by Burt Bacharach and Carole Bayer Sager and recorded by Rod Stewart in 1982 for the Night Shift soundtrack, “That’s What Friends Are For” was later a one-off collaboration headed by Dionne… Read More 
And I never thought I'd feel this way
And as far as I'm concerned
I'm glad I got the chance to say
That I do believe I love you
And if I should ever go away
Well, then, close your eyes and try
To feel the way we do today
And then if you can remember

Keep smilin', keep shinin'
Knowin' you can always count on me for sure
That's what friends are for
For good times and bad times
I'll be on your side forevermore
That's what friends are for

Well, you came and opened me
And now, there's so much more I see
And so, by the way, I thank you
Oh, and then, for the times when we're apart
Well, then, close your eyes and know
These words are comin' from my heart
And then if you can remember, oh

Keep smiling, keep shining
Knowing you can always count on me for sure
That's what friends are for
In good times, in bad times
I'll be on your side forevermore
Oh, that's what friends are for, oh

Oh, keep smilin', keep shinin'
Knowin' you can always count on me for sure
That's what friends are for
For good times and bad times
I'll be on your side forevermore
That's what friends are for

Keep smilin', keep shinin'
Knowin' you can always count on me, oh, for sure
'Cause I tell you that's what friends are for
For good times and for bad times
I'll be on your side forevermore, oh
That's what friends are for

(Ha, ha, that's what friends are for)
(Ha, ha, yeah)
On me for sure
Count on me for sure
Count on me for sure
That's what friends are for
Keep smilin', keep shinin'",
1,2,"""Say You, Say Me""",Lionel Richie,"29 ContributorsTranslationsDeutschSay You, Say Me Lyrics“Say You, Say Me”  topped the Billboard Hot 100 (December 21, 1985), along with the Adult Contemporary and R&B charts.
The song was featured in the film White Nights and also won an Academy Award & a Golden… Read More 
Say you, say me
Say it for always
That's the way it should be
Say you, say me
Say it together, naturally

I had a dream, I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind of walls of doubt a voice was crying out

Say you, say me
Say it for always
That's the way it should be
Say you, say me
Say it together, naturally

As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
A helping hand, someone who understands
That when you feel you've lost your way
You've got someone there to say, ""I'll show you""

Say you, say me
Say it for always, oh
And that's the way it should be
Say you, say me
Say it together, naturally

So you think you know the answers, oh no
Well, the whole world has got you dancing
That's right, I'm telling you
It's time to start believing, oh yes
Believing who you are, you are a shining star

Say you, say me
Say it for always, oh
That's the way it should be
Say you, say me
Say it together, naturally
Say it together, naturally","soul, pop, 80s, rnb, motown"
2,3,"""I Miss You""",Klymaxx,"8 ContributorsI Miss You Lyrics“I Miss You” became Klymaxx’s biggest hit to date, peaking at #5 on the Billboard Hot 100 in 1985. The song also charted on Billboard’s adult contemporary and R&B chart.
Thought I heard your voice yesterday
Then I turned around to say that I loved you, then I realized
That it was just my mind
Playing tricks on me
It seems colder lately at night
And I try to sleep with the lights on
Every time the phone rings I pray to God it's you
I just can't believe that we're through

I miss you (I miss you)
There's no other way to say it (And I), and I can't deny it
I miss you (I miss you)
It's so easy to see, I miss you and me

Is it done and over this time?
Can we really change our minds? But it's our first love
All the feelings that we used to share
I refuse to believe that you don't care

I miss you (I miss you)
There's no other way to say it (And I), and I can't deny it
I miss you (I miss you)
It's so easy to see

I've got to gather my senses together
I've been through worse kinds of weather
If it's over now, I'll be strong, I can't believe that you're gone
I've got to carry on, but

I miss you (I miss you)
Oh, no other way to say it (And I), and I can't deny it
I miss you (I miss you)
It's so easy to see that you're part of me now

Oh, no other way to say it
It's so easy to see that you're part of me now
It's drivin' me crazy
It's so easy to see that you're part of me now, that you're part of me now

I miss you (I miss you)
It's drivin' me crazy, I don't want to live without you
I miss you (I miss you)
It's so easy to see I'm missin' me","funk, 80s, dance, soul, Soul Funk"
3,4,"""On My Own""",Patti LaBelle and Michael McDonald,"15 ContributorsOn My Own Lyrics“On My Own” is a duet Patti LaBelle recorded with Michael McDonald.

It topped the Billboard Hot 100 and R&B charts in 1986. The song also peaked at #2 on Billboard’s Adult Contemporary chart.
So many times
Said it was forever
Said our love would always be true
Something in my heart always knew
I'd be lying here beside you
On my own
On my own
On my own

So many promises never should be spoken
Now I know what loving you cost
Now we're up to talking divorce
And we weren't even married

On my own
Once again now
One more time
By myself
No one said it was easy
No

But it once was so easy

Well, I believed in love (I believe)
Now here I stand
I wonder why
Ooh

I'm on my own
Why did it end this way
(On my own)
This wasn't how it was supposed to be
On my own
I wish that we could do it all again

So many times
I know I could have told you
Losing you
It cut like a knife
Hey
You walked out and there went my life
I don't want to live without you

On my own
This wasn't how it was supposed to end
On my own
I wish that we could do it all again
On my own
I never dreamed I'd spend one night alone
By myself
On my own
I've got to find out where I belong again
I've got to learn to be strong again
I never dreamed I'd spend one night alone
By myself, by myself, by myself
I've got to find out what was mine again
My heart is saying that it's time again
And I have faith that I will shine again
By myself
I have faith in me
Oh
I know I'll make it
By myself, by myself",
4,5,"""Broken Wings""",Mr. Mister,"33 ContributorsBroken Wings Lyrics“Broken Wings” is the lead single from Mr. Mister’s second album Welcome to the Real World.
John Lang, one of the track’s songwriters, used Khalil Gibran’s book “The Broken Wings” as a source of inspiration… Read More 
Baby, don't understand
Why we can't just hold on to each other's hands?
This time might be the last I fear
Unless I make it all too clear
I need you so, ohh

Take these broken wings
And learn to fly again, learn to live so free
When we hear the voices sing
The book of love will open up and let us in
Take these broken wings

Baby, I think tonight
We can take what was wrong and make it right
Baby, it's all I know that you're half of the flesh
And blood that makes me whole, I need you so

So take these broken wings
And learn to fly again, learn to live so free
When we hear the voices sing
The book of love will open up and let us in
Take these broken wings
You've got to learn to fly, learn to live, love so free
When we hear the voices sing
The book of love will open up and let us in
Yeah, yeah

Let us in
Let us in

Baby, it's all I know that you're half of the flesh
And blood that makes me whole
Yeah, yeah, yeah, yeah, yeah

So take these broken wings
And learn to fly again, learn to live so free
And when we hear the voices sing
The book of love will open up and let us in
Take these broken wings
You got to learn to fly, learn to live and love so free
When we hear the voices sing
The book of love will open up for us and let us in
Yeah, yeah

Yeah, yeah
Ooh","80s, pop, new wave, rock, classic rock"
5,6,"""How Will I Know""",Whitney Houston,"27 ContributorsHow Will I Know Lyrics“How Will I Know""is the third single from Whitney Houston’s 1985 self-titled debut album.
It was written by George Merrill, Shannon Rubicam and Narada Michael Walden (who also produced the song).
The song… Read More 
There's a boy I know, he's the one I dream of
Looks into my eyes, takes me to the clouds above
Ooh, I lose control, can't seem to get enough, uh-huh
When I wake from dreaming, tell me, is it really love?

Ooh, how will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

Oh, wake me, I'm shaking
Wish I had you near me now, uh-huh
Said there's no mistakin'
What I feel is really love
Ooh, tell me

How will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

If he loves me
If he loves me not (Mm)
If he loves me
(Ooh) If he loves me not
(Hey) If he loves me
If he loves me not
Oh, how will I know?
How will I know?
How will I know?
Hey, how will I know? (Ooh)

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

How will I know? (How will I know?)
How will I know?
How will I know? (I say a prayer)
How will I know? Ooh
How will I know? (I fall in love)
How will I know?
Hey, how will I know?
I'm asking you
How will I, how will I know?","pop, soul, female vocalists, rnb, 80s"
6,7,"""Party All the Time""",Eddie Murphy,"33 ContributorsParty All the Time Lyrics“Party All the Time” is a 1985 song by Eddie Murphy, written and produced by Rick James. It reached #2 on the Billboard Hot 100 chart, and is featured in the hit video game Grand Theft Auto V on the SPACE… Read More 
Girl, I can't understand it, why you want to hurt me
After all of the things I've done for you
I buy you champagne and roses, put diamonds on your finger
(Diamonds on your finger)
And still, you hang out all night
What am I to do?

My girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time
She parties all the time

(Party all the time)
She likes to party all the time
(Party all the time)
(Party all the time)
She likes to party all the time
(Party all the time)

Girl, I've seen you in clubs just hanging out and dancing
You give your number to every man you see
You never come home at night because you're out romancing
I wish you'd bring some of your love home to me

But my girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time
My girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time, yeah

(Party, party)
She likes to party all the time
(Party, party, party, party, party)

She likes to party all the time, yeah
She lets her hair down
She likes to party down
She likes to party
She likes to party down
(Party all the time)
Oh, now get down and party, yeah
(Party all the time)
(Party all the time)","comedy, pop, 80s, stand-up, stand-up comedy"
7,8,"""Burning Heart""",Survivor,"27 ContributorsBurning Heart LyricsFresh from “Eye of the Tiger” from the Rocky III soundtrack, Jim Peterik’s Survivor was again called upon to make a hit for the sequel. This one is far more obvious in its inspiration from the storyline of… Read More 
Two worlds collide, rival nations
It's a primitive clash venting years of frustrations
Bravely we hope against all hope
There is so much at stake
Seems our freedom's up against the ropes
Does the crowd understand?
Is it East versus West or man against man?
Can any nation stand alone?

In the burning heart just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night rising like a spire
In the burning heart, the unmistakable fire
In the burning heart

In the warriors code there's no surrender
Though his body says ""stop!"", his spirit cries ""never!""
Deep in our soul a quiet ember knows it's you against you
It's the paradox that drives us on
It's a battle of wills
In the heat of attack it's the passion that kills
The victory is yours alone

In the burning heart just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night rising like a spire
In the burning heart, the unmistakable fire


In the burning heart just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night rising like a spire
In the burning heart, the unmistakable fire
In the burning heart just about to burst
There's a quest for answers, an unquenchable thirst
In the darkest night rising like a spire
In the burning heart, the unmistakable fire

In the burning heart","classic rock, rock, hard rock, 80s, AOR"
8,9,"""Kyrie""",Mr. Mister,"17 ContributorsKyrie Lyrics“Kyrie” is the second single from Mr. Mister’s 1985 album “Welcome to the Real World.”
It was released in December of 1985. In March of 1986, the song topped the Billboard Hot 100 for 2 weeks.
It also… Read More 
Kyrie eleison
Kyrie eleison
Kyrie

The wind blows hard against this mountain side
Across the sea into my soul
It reaches into where I cannot hide
Setting my feet upon the road

My heart is old, it holds my memories
My body burns a gemlike flame
Somewhere between the soul and soft machine
Is where I find myself again

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?
Kyrie eleison, on a highway in the light

When I was young I thought of growing old
Of what my life would mean to me
Would I have followed down my chosen road
Or only wished what I could be

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?
Kyrie eleison, on a highway in the light

Who-o-oa
Who-o-oa
Who-o-oa
Who-o-oa

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?
Kyrie eleison, on a highway in the light

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?
Kyrie eleison, on a highway in the light

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?
Kyrie eleison, on a highway in the light

Kyrie eleison, down the road that I must travel
Kyrie eleison, through the darkness of the night
Kyrie eleison, where I'm going, will you follow?","80s, pop, new wave, rock, classic rock"
9,10,"""Addicted to Love""",Robert Palmer,"31 ContributorsAddicted to Love Lyrics“Addicted to Love” was released as a single in January 1986 and quickly became known as Robert Palmer’s signature song, thanks in part to a popular video featuring high fashion models. Other artists have… Read More 
The lights are on, but you're not home
Your mind is not your own
Your heart sweats, your body shakes
Another kiss is what it takes

You can't sleep, you can't eat
There's no doubt, you're in deep
Your throat is tight, you can't breathe
Another kiss is all you need

Whoa, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're going to have to face it, you're addicted to love

You see the signs, but you can't read
You're running at a different speed
Your heart beats in double time
Another kiss and you'll be mine

A one-track mind, you can't be saved
Oblivion is all you crave
If there's some left for you
You don't mind if you do

Whoa, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're going to have to face it, you're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love

Your lights are on, but you're not home
Your will is not your own
Your heart sweats your teeth grind
Another kiss and you'll be mine

Whoa, you like to think that you're immune to the stuff, oh yeah
It's closer to the truth to say you can't get enough
You know you're going to have to face it, you're addicted to love

Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love
Might as well face it, you're addicted to love","rock, 80s, classic rock, pop, british"
