,No.,Title,Artist(s)
0,1,"""Lose Control""",Teddy Swims
1,2,"""A Bar Song (Tipsy)""",Shaboozey
2,3,"""Beautiful Things""",Benson Boone
3,4,"""I Had Some Help""",Post Malone featuring Morgan Wallen
4,5,"""Lovin on Me""",Jack Harlow
5,6,"""Not Like Us""",Kendrick Lamar
6,7,"""Espresso""",Sabrina Carpenter
7,8,"""Million Dollar Baby""",Tommy Richman
8,9,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves
9,10,"""Too Sweet""",Hozier
10,11,"""Stick Season""",Noah Kahan
11,12,"""Cruel Summer""",Taylor Swift
12,13,"""Greedy""",Tate McRae
13,14,"""Like That""","Future, Metro Boomin and Kendrick Lamar"
14,15,"""Birds of a Feather""",Billie Eilish
15,16,"""Please Please Please""",Sabrina Carpenter
16,17,"""Agora Hills""",Doja Cat
17,18,"""Good Luck, Babe!""",Chappell Roan
18,19,"""Saturn""",SZA
19,20,"""Snooze""",SZA
20,21,"""Paint the Town Red""",Doja Cat
21,22,"""Fortnight""",Taylor Swift featuring Post Malone
22,23,"""Fast Car""",Luke Combs
23,24,"""Water""",Tyla
24,25,"""Feather""",Sabrina Carpenter
25,26,"""We Can't Be Friends (Wait for Your Love)""",Ariana Grande
26,27,"""Austin""",Dasha
27,28,"""Last Night""",Morgan Wallen
28,29,"""Cowgirls""",Morgan Wallen featuring Ernest
29,30,"""Pink Skies""",Zach Bryan
30,31,"""Thinkin' Bout Me""",Morgan Wallen
31,32,"""Texas Hold 'Em""",Beyoncé
32,33,"""Is It Over Now?""",Taylor Swift
33,34,"""Miles on It""",Marshmello and Kane Brown
34,35,"""I Can Do It with a Broken Heart""",Taylor Swift
35,36,"""Wild Ones""",Jessie Murph and Jelly Roll
36,37,"""Ain't No Love in Oklahoma""",Luke Combs
37,38,"""Carnival""",¥$ (Kanye West and Ty Dolla Sign) featuring Rich the Kid and Playboi Carti
38,39,"""Houdini""",Eminem
39,40,"""Wanna Be""",GloRilla and Megan Thee Stallion
40,41,"""Slow It Down""",Benson Boone
41,42,"""Redrum""",21 Savage
42,43,"""Houdini""",Dua Lipa
43,44,"""Yeah Glo!""",GloRilla
44,45,"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA
45,46,"""What Was I Made For?""",Billie Eilish
46,47,"""End of Beginning""",Djo
47,48,"""Lunch""",Billie Eilish
48,49,"""Never Lose Me""",Flo Milli
49,50,"""Lies Lies Lies""",Morgan Wallen
50,51,"""Type Shit""","Future, Metro Boomin, Travis Scott, and Playboi Carti"
51,52,"""Gata Only""",FloyyMenor and Cris MJ
52,53,"""Hot to Go!""",Chappell Roan
53,54,"""All I Want for Christmas Is You""",Mariah Carey
54,55,"""Get It Sexyy""",Sexyy Red
55,56,"""Made for Me""",Muni Long
56,57,"""Vampire""",Olivia Rodrigo
57,58,"""Whatever She Wants""",Bryson Tiller
58,59,"""Rockin' Around the Christmas Tree""",Brenda Lee
59,60,"""Pretty Little Poison""",Warren Zeiders
60,61,"""First Person Shooter""",Drake featuring J. Cole
61,62,"""Die with a Smile""",Lady Gaga and Bruno Mars
62,63,"""I Like the Way You Kiss Me""",Artemas
63,64,"""Need a Favor""",Jelly Roll
64,65,"""Save Me""",Jelly Roll featuring Lainey Wilson
65,66,"""Euphoria""",Kendrick Lamar
66,67,"""Truck Bed""",Hardy
67,68,"""Jingle Bell Rock""",Bobby Helms
68,69,"""Flowers""",Miley Cyrus
69,70,"""Where the Wild Things Are""",Luke Combs
70,71,"""Everybody""",Nicki Minaj featuring Lil Uzi Vert
71,72,"""La Diabla""",Xavi
72,73,"""Stargazing""",Myles Smith
73,74,"""Last Christmas""",Wham!
74,75,"""I Am Not Okay""",Jelly Roll
75,76,"""Pour Me a Drink""",Post Malone featuring Blake Shelton
76,77,"""White Horse""",Chris Stapleton
77,78,"""Lil Boo Thang""",Paul Russell
78,79,"""Good Good""","Usher, Summer Walker and 21 Savage"
79,80,"""Act II: Date @ 8""",4Batz and Drake
80,81,"""High Road""",Koe Wetzel featuring Jessie Murph
81,82,"""Monaco""",Bad Bunny
82,83,"""IDGAF""",Drake featuring Yeat
83,84,"""Burn It Down""",Parker McCollum
84,85,"""FukUMean""",Gunna
85,86,"""Taste""",Sabrina Carpenter
86,87,"""Where It Ends""",Bailey Zimmerman
87,88,"""FTCU""",Nicki Minaj
88,89,"""Wildflower""",Billie Eilish
89,90,"""World on Fire""",Nate Smith
90,91,"""On My Mama""",Victoria Monét
91,92,"""Yes, And?""",Ariana Grande
92,93,"""Exes""",Tate McRae
93,94,"""A Holly Jolly Christmas""",Burl Ives
94,95,"""Wind Up Missin' You""",Tucker Wetmore
95,96,"""Bulletproof""",Nate Smith
96,97,"""Fe!n""",Travis Scott featuring Playboi Carti
97,98,"""The Painter""",Cody Johnson
98,99,"""Down Bad""",Taylor Swift
99,100,"""Dance the Night""",Dua Lipa
