,№,Title,Artist(s)
0,1,"""Too Close""",Next
1,2,"""The Boy Is Mine""",Brandy and Monica
2,3,"""You're Still the One""",Shania Twain
3,4,"""Truly Madly Deeply""",Savage Garden
4,5,"""How Do I Live""",LeAnn Rimes
5,6,"""Together Again""",Janet
6,7,"""All My Life""",K-Ci & JoJo
7,8,"""Candle in the Wind 1997"" / ""Something About the Way You Look Tonight""",Elton John
8,9,"""Nice & Slow""",Usher
9,10,"""I Don't Want to Wait""",Paula Cole
10,11,"""How's It Going to Be""",Third Eye Blind
11,12,"""No, No, No""",Destiny's Child
12,13,"""My Heart Will Go On""",Celine Dion
13,14,"""Gettin' Jiggy wit It""",Will Smith
14,15,"""You Make Me Wanna...""",Usher
15,16,"""My Way""",Usher
16,17,"""My All""",Mariah Carey
17,18,"""The First Night""",Monica
18,19,"""Been Around the World""",Puff Daddy & the Family featuring The Notorious B.I.G. and Mase
19,20,"""Adia""",Sarah McLachlan
20,21,"""Crush""",Jennifer Paige
21,22,"""Everybody (Backstreet's Back)""",Backstreet Boys
22,23,"""I Don't Want to Miss a Thing""",Aerosmith
23,24,"""Body Bumpin' (Yippie-Yi-Yo)""",Public Announcement
24,25,"""This Kiss""",Faith Hill
25,26,"""I Don't Ever Want to See You Again""",Uncle Sam
26,27,"""Let's Ride""",Montell Jordan featuring Master P and Silkk the Shocker
27,28,"""Sex and Candy""",Marcy Playground
28,29,"""Show Me Love""",Robyn
29,30,"""A Song for Mama""",Boyz II Men
30,31,"""What You Want""",Mase featuring Total
31,32,"""Frozen""",Madonna
32,33,"""Gone till November""",Wyclef Jean
33,34,"""My Body""",LSG
34,35,"""Tubthumping""",Chumbawamba
35,36,"""Deja Vu (Uptown Baby)""",Lord Tariq and Peter Gunz
36,37,"""I Want You Back""",NSYNC
37,38,"""When the Lights Go Out""",Five
38,39,"""They Don't Know""",Jon B.
39,40,"""Make 'Em Say Uhh!""","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal"
40,41,"""Make It Hot""",Nicole featuring Missy Elliott and Mocha
41,42,"""Never Ever""",All Saints
42,43,"""I Get Lonely""",Janet featuring Blackstreet
43,44,"""Feel So Good""",Mase
44,45,"""Say It""",Voices of Theory
45,46,"""Kiss the Rain""",Billie Myers
46,47,"""Come with Me""",Puff Daddy featuring Jimmy Page
47,48,"""Romeo and Juliet""",Sylk-E. Fyne featuring Chill
48,49,"""It's All About Me""",Mýa and Sisqo
49,50,"""I Will Come to You""",Hanson
50,51,"""One Week""",Barenaked Ladies
51,52,"""Swing My Way""",K. P. & Envyi
52,53,"""The Arms of the One Who Loves You""",Xscape
53,54,"""My Love Is the Shhh!""",Somethin' for the People featuring Trina & Tamara
54,55,"""Daydreamin'""",Tatyana Ali
55,56,"""We're Not Making Love No More""",Dru Hill
56,57,"""Semi-Charmed Life""",Third Eye Blind
57,58,"""I Do""",Lisa Loeb
58,59,"""Lookin' at Me""",Mase featuring Puff Daddy
59,60,"""Looking Through Your Eyes""",LeAnn Rimes
60,61,"""Lately""",Divine
61,62,"""Quit Playing Games (With My Heart)""",Backstreet Boys
62,63,"""I Still Love You""",Next
63,64,"""Time After Time""",INOJ
64,65,"""Are You Jimmy Ray?""",Jimmy Ray
65,66,"""Cruel Summer""",Ace of Base
66,67,"""I Got the Hook Up""",Master P featuring Sons of Funk
67,68,"""Victory""",Puff Daddy & the Family featuring The Notorious B.I.G. and Busta Rhymes
68,69,"""Too Much""",Spice Girls
69,70,"""Ghetto Supastar (That Is What You Are)""",Pras Michel featuring Ol' Dirty Bastard and Mýa
70,71,"""How Deep Is Your Love""",Dru Hill featuring Redman
71,72,"""Friend of Mine""",Kelly Price
72,73,"""Turn It Up (Remix)/Fire It Up""",Busta Rhymes
73,74,"""I'll Be""",Edwin McCain
74,75,"""Ray of Light""",Madonna
75,76,"""All for You""",Sister Hazel
76,77,"""Touch It""",Monifah
77,78,"""Money, Power & Respect""",The Lox featuring DMX and Lil' Kim
78,79,"""Bitter Sweet Symphony""",The Verve
79,80,"""Dangerous""",Busta Rhymes
80,81,"""Spice Up Your Life""",Spice Girls
81,82,"""Because of You""",98 Degrees
82,83,"""The Mummers' Dance""",Loreena McKennitt
83,84,"""All Cried Out""",Allure featuring 112
84,85,"""Still Not a Player""",Big Punisher featuring Joe
85,86,"""The One I Gave My Heart To""",Aaliyah
86,87,"""Foolish Games"" / ""You Were Meant for Me""",Jewel
87,88,"""Love You Down""",INOJ
88,89,"""Do for Love""",2Pac featuring Eric Williams
89,90,"""Raise the Roof""",Luke featuring No Good But So Good
90,91,"""Heaven""",Nu Flavor
91,92,"""The Party Continues""",JD featuring Da Brat
92,93,"""Sock It 2 Me""",Missy Elliott featuring Da Brat
93,94,"""Butta Love""",Next
94,95,"""A Rose Is Still a Rose""",Aretha Franklin
95,96,"""4 Seasons of Loneliness""",Boyz II Men
96,97,"""Father""",LL Cool J
97,98,"""Thinkin' Bout It""",Gerald Levert
98,99,"""Nobody's Supposed to Be Here""",Deborah Cox
99,100,"""Westside""",TQ
