,No.,Title,Artist(s)
0,1,"""How You Remind Me""",Nickelback
1,2,"""Foolish""",Ashanti
2,3,"""Hot in Herre""",Nelly
3,4,"""Dilemma""",Nelly featuring Kelly Rowland
4,5,"""Wherever You Will Go""",The Calling
5,6,"""A Thousand Miles""",Vanessa Carlton
6,7,"""In the End""",Linkin Park
7,8,"""What's Luv?""",Fat Joe featuring Ashanti
8,9,"""U Got It Bad""",Usher
9,10,"""Blurry""",Puddle of Mudd
10,11,"""Complicated""",Avril Lavigne
11,12,"""Always on Time""",Ja Rule featuring Ashanti
12,13,"""Ain't It Funny (Murder Remix)""",Jennifer Lopez featuring Ja Rule
13,14,"""The Middle""",Jimmy Eat World
14,15,"""I Need a Girl (Part One)""",P. Diddy featuring Usher and Loon
15,16,"""U Don't Have to Call""",Usher
16,17,"""Family Affair""",Mary J. Blige
17,18,"""I Need a Girl (Part Two)""","P. Diddy featuring Ginuwine, Loon and Mario Winans"
18,19,"""Gangsta Lovin'""",Eve featuring Alicia Keys
19,20,"""My Sacrifice""",Creed
20,21,"""Without Me""",Eminem
21,22,"""Hero""",Enrique Iglesias
22,23,"""All You Wanted""",Michelle Branch
23,24,"""Get the Party Started""",Pink
24,25,"""Hero""",Chad Kroeger featuring Josey Scott
25,26,"""Wasting My Time""",Default
26,27,"""One Last Breath""",Creed
27,28,"""Whenever, Wherever""",Shakira
28,29,"""I'm Gonna Be Alright""",Jennifer Lopez featuring Nas
29,30,"""Oh Boy""",Cam'ron featuring Juelz Santana
30,31,"""Heaven""",DJ Sammy featuring Yanou and Do
31,32,"""Hey Baby""",No Doubt featuring Bounty Killer
32,33,"""Girlfriend""",NSYNC featuring Nelly
33,34,"""Just a Friend 2002""",Mario
34,35,"""Soak Up the Sun""",Sheryl Crow
35,36,"""Don't Let Me Get Me""",Pink
36,37,"""Nothin'""",N.O.R.E.
37,38,"""Oops (Oh My)""",Tweet featuring Missy Elliott
38,39,"""A Moment Like This""",Kelly Clarkson
39,40,"""Addictive""",Truth Hurts featuring Rakim
40,41,"""Happy""",Ashanti
41,42,"""No Such Thing""",John Mayer
42,43,"""Just Like a Pill""",Pink
43,44,"""Down 4 U""","Ja Rule featuring Ashanti, Charli Baltimore and Vita"
44,45,"""Can't Get You Out of My Head""",Kylie Minogue
45,46,"""Superman (It's Not Easy)""",Five for Fighting
46,47,"""Cleanin' Out My Closet""",Eminem
47,48,"""Halfcrazy""",Musiq Soulchild
48,49,"""Lights, Camera, Action!""",Mr. Cheeks
49,50,"""Still Fly""",Big Tymers
50,51,"""A Woman's Worth""",Alicia Keys
51,52,"""7 Days""",Craig David
52,53,"""Hey Ma""",Cam'ron featuring Juelz Santana and Freekey Zekey
53,54,"""Work It""",Missy Elliott
54,55,"""Move Bitch""",Ludacris featuring Mystikal and I-20
55,56,"""Can't Fight the Moonlight""",LeAnn Rimes
56,57,"""Escape""",Enrique Iglesias
57,58,"""More Than A Woman""",Aaliyah
58,59,"""Hella Good""",No Doubt
59,60,"""I Love You""",Faith Evans
60,61,"""Gotta Get thru This""",Daniel Bedingfield
61,62,"""Pass the Courvoisier, Part II""",Busta Rhymes featuring P. Diddy and Pharrell
62,63,"""Lose Yourself""",Eminem
63,64,"""Butterflies""",Michael Jackson
64,65,"""What About Us?""",Brandy
65,66,"""Underneath Your Clothes""",Shakira
66,67,"""Rainy Dayz""",Mary J. Blige featuring Ja Rule
67,68,"""Differences""",Ginuwine
68,69,"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario
69,70,"""The Whole World""",Outkast featuring Killer Mike
70,71,"""Underneath It All""",No Doubt featuring Lady Saw
71,72,"""Caramel""",City High featuring Eve
72,73,"""Luv U Better""",LL Cool J
73,74,"""Gimme the Light""",Sean Paul
74,75,"""Gone""",NSYNC
75,76,"""Livin' It Up""",Ja Rule featuring Case
76,77,"""Rollout (My Business)""",Ludacris
77,78,"""Here Is Gone""",Goo Goo Dolls
78,79,"""No More Drama""",Mary J. Blige
79,80,"""Days Go By""",Dirty Vegas
80,81,"""Baby""",Ashanti
81,82,"""The Good Stuff""",Kenny Chesney
82,83,"""We Thuggin'""",Fat Joe featuring R. Kelly
83,84,"""Good Morning Beautiful""",Steve Holy
84,85,"""Rock the Boat""",Aaliyah
85,86,"""Drive (For Daddy Gene)""",Alan Jackson
86,87,"""Standing Still""",Jewel
87,88,"""Anything""",Jaheim featuring Next
88,89,"""Full Moon""",Brandy
89,90,"""Uh Huh""",B2K
90,91,"""A New Day Has Come""",Celine Dion
91,92,"""Turn Off the Light""",Nelly Furtado
92,93,"""Living and Living Well""",George Strait
93,94,"""My List""",Toby Keith
94,95,"""Hands Clean""",Alanis Morissette
95,96,"""Sk8er Boi""",Avril Lavigne
96,97,"""Long Time Gone""",Dixie Chicks
97,98,"""Where Were You (When the World Stopped Turning)""",Alan Jackson
98,99,"""Like I Love You""",Justin Timberlake
99,100,"""I Do!!""",Toya
