Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""End of the Road""",Boyz II Men,"49 ContributorsTranslationsDeutschEnd of the Road LyricsIn this song, one of the Boyz know that his time with his girl is coming to an end, but he isn’t ready to let go of her.
“End of the Road” was Boyz II Men’s first ever #1 single, reaching #1 on the Billboard… Read More 
Girl, you know we belong together
I have no time for you to be playin' with my heart like this
You'll be mine forever, baby, you just see

We belong together
And you know that I'm right
Why do you play with my heart
Why do you play with my mind?
Said we'd be forever
Said it'd never die
How could you love me and leave me
And never say goodbye?

When I can't sleep at night without holding you tight
Girl, each time I try, I just break down and cry
Pain in my head, oh, I'd rather be dead
Spinnin' around and around

Although we've come to the end of the road
Still, I can't let go
It's unnatural, you belong to me, I belong to you
Come to the end of the road
Still, I can't let go
It's unnatural, you belong to me, I belong to you

Girl, I know you really love me
You just don't realize
You've never been there before
It's only your first time
Maybe I'll forgive you, mmm
Maybe you'll try
We should be happy together
Forever, you and I

Will you love me again like you loved me before?
This time, I want you to love me much more
This time instead, just come to my bed
And baby, just don't let me, don't let me down, oh

Although we've come to the end of the road (End of the road)
Still, I can't let go (The end of the road and I know I can't let go, baby)
It's unnatural, you belong to me, I belong to you (I don't know what I'm gonna do)
Come to the end of the road (I don't know what I'm gonna do 'cause I know I've come to the end of the road, the end of the road)
Still, I can't let go (Oh my God, oh my God, help me out a little bit, baby)
It's unnatural, you belong to me, I belong to you

Girl, I'm here for you
All those times at night when you just hurt me
And just ran out with that other fella
Baby, I knew about it, I just didn't care
You just don't understand how much I love you, do you?
I'm here for you
I'm not out to go out and cheat all night (Maybe I'll forgive you, baby)
Just like you did, baby, but that's alright
Heh, I love you anyway (Maybe you'll try)
And I'm still gonna be here for you 'til my dying day, baby
Right now, I'm just in so much pain, baby (We should be happy together forever)
'Cause you just won't come back to me (You and I)
Will you? Just come back to me (Yeah, yeah)

(Lonely) Yes, baby, my heart is lonely
(Lonely) My heart hurts, baby
(Lonely) Yes, I feel pain too
(Lonely) Baby, please

This time instead, just come to my bed
And baby, just don't let me down

Although we've come to the end of the road (We've come to the end of the road)
Still, I can't let go (I know I just can't let go, no)
It's unnatural, you belong to me, I belong to you (No, no, no, no, no, no, no, no)
(I don't know what I'm gonna do)
Come to the end of the road (I don't know what I'm gonna do 'cause I know I've come to the end of the road, the end of the road)
Still, I can't let go (Oh my God, oh my God, help me out a little bit, baby)
It's unnatural (Baby), you belong to me (Baby), I belong to you (Baby)
Although we've come to the end of the road
Still, I can't let go (Alright, alright, alright)
It's unnatural, you belong to me, I belong to you (It's unnatural, you belong to me, I belong to you, woah)
Come to the end of the road (Although we've come to the end of the road)
Still, I can't let go (I know I just can't let go, no)
It's unnatural, you belong to me, I belong to you (No, no, no, no, no, no, no, no)","rnb, soul, 90s, pop, r and b"
1,2,"""Baby Got Back""",Sir Mix-a-Lot,"117 ContributorsTranslationsDeutschBaby Got Back Lyrics“Baby Got Back” was inspired by Anthony “Sir Mix-A-Lot” Ray’s frustration with seeing feminine beauty in America portrayed as a valley-girl “popsicle stick” figure in ads like the Spuds MacKenzie Budweiser… Read More 
Oh my God, Becky, look at her butt, it is so big, ugh
She looks like one of those rap guys' girlfriends, but, ugh, you know
Who understands those rap guys? Ugh, they only talk to her
Because she looks like a total prostitute, okay?
I mean, her butt, it's just so big
Ugh, I can't believe it's just so round, it's like out there
I mean, ugh, gross, look, ugh, she's just so black
I like big butts and I cannot lie
You other brothers can't deny
That when a girl walks in with an itty bitty waist
And a round thing in your face, you get sprung
Wanna pull up tough 'cause you notice that butt was stuffed
Deep in the jeans she's wearin'
I'm hooked and I can't stop starin'
Oh, baby, I wanna get with ya
And take your picture
My homeboys tried to warn me
But that butt you got makes (Me-me so horny)
Oh, Rump-o'-smooth-skin
You say you wanna get in my Benz?
Well, use me, use me 'cause you ain't that average groupie
I've seen 'em dancin', to hell with romancin'
She sweat, wet, got it goin' like a turbo 'Vette
I'm tired of magazines sayin' flat butts are the thing
Take the average black man and ask him that
She gotta pack much back
So, fellas (Yeah), Fellas (Yeah)
Has your girlfriend got the butt? (Hell yeah)
Tell 'em to shake it (Shake it) Shake it (Shake it)
Shake that healthy butt, baby got back

(L.A. face with a Oakland booty)
Baby got back
(L.A. face with a Oakland booty)
(L.A. face with a Oakland booty)

I like 'em round, and big
And when I'm throwin' a gig
I just can't help myself, I'm actin' like an animal
Now here's my scandal
I wanna get you home
And ugh, double-up, ugh-ugh
I ain't talkin' 'bout Playboy
'Cause silicone parts are made for toys
I want 'em real thick and juicy
So find that juicy double
Mix-a-Lot's in trouble
Beggin' for a piece of that bubble
So I'm lookin' at rock videos
Knock-kneed bimbos walkin' like hoes
You can have them bimbos
I'll keep my women like Flo Jo
A word to the thick soul sisters, I wanna get with ya
I won't cuss or hit ya
But I gotta be straight when I say I wanna— (Uh)
'Til the break of dawn
Baby got it goin' on
A lot of simps won't like this song
'Cause them punks like to hit it and quit it
And I'd rather stay and play
'Cause I'm long, and I'm strong
And I'm down to get the friction on
So, ladies (Yeah), Ladies (Yeah)
If you wanna roll in my Mercedes (Yeah)
Then turn around, stick it out
Even white boys got to shout

Baby got back
Baby got back

Yeah, baby, when it comes to females
Cosmo ain't got nothin' to do with my selection
36-24-36? Haha, only if she's 5'3""

So your girlfriend rolls a Honda
Playin' workout tapes by Fonda
But Fonda ain't got a motor in the back of her Honda
My anaconda don't want none
Unless you've got buns, hun
You can do side bends or sit-ups
But please don't lose that butt
Some brothers wanna play that hard role
And tell you that the butt ain't gold
So they toss it and leave it
And I pull up quick to retrieve it
So Cosmo says you're fat
Well I ain't down with that
'Cause your waist is small and your curves are kickin'
And I'm thinkin' 'bout stickin'
To the beanpole dames in the magazines:
You ain't it, Miss Thing
Give me a sista, I can't resist her
Red beans and rice didn't miss her
Some knucklehead tried to diss
'Cause his girls are on my list
He had game, but he chose to hit 'em
And I pull up quick to get wit 'em
So ladies, if the butt is round
And you want a triple X throwdown
Dial 1-900-MIX-A-LOT
And kick them nasty thoughts

Baby got back
Baby got back
Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back","Hip-Hop, rap, old school, hip hop, 90s"
2,3,"""Jump""",Kris Kross,"74 ContributorsJump Lyrics“Jump” is the hit debut single by the American Hip hop duo Kris Kross, released on February 6, 1992 – several weeks in advance of their debut studio album Totally Krossed Out. Producer Jermaine Dupri wrote… Read More 
(Jump jump)
You should know, you should know that, ahh
Kris Kross is not having anything today
As we stand there totally crossed out
We commence to make ya (Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Don't try to compare us (Yeah) to another bad little fad
I'm the Mac and I'm bad, give ya something that you never had
I'll make ya bump, hump, wiggle and shake your rump
'Cause I'll be kicking the flavor that makes you wanna jump
How high? Real high 'cause I'm just so fly
A young lovable, huggable type of guy
And everything is to the back with a little slack
'Cause inside out, it's wiggida wiggida wiggida wack
I come stompin' with somethin' pumpin' to keep you jumpin'
R&B rap is bullcrap is what I'm dumpin'
Ain't nuthin' soft about Kris Kross, we all that
So when they ask, ""Do they rock?,"" say, ""Believe that!""

(Jump Jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Uh huh, uh huh
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)

I like my stuff knockin' (Knockin')
I love it when the girlies be like jockin' (Jockin')
The D-A-double D-Y-M-A-C
Yeah, you know me
I got you jumpin' an' bumpin' an' pumpin' movin' all around, G
In the mix, I made MC's step back
They tried to step to the Mac then they got jacked
To the back you'll be sportin' the gear; is that coincidental?
Act like you know and don't be claiming that it's mental
Two lil' kids with a flow you ain't ever heard
And nuthin' fake and you can understand every word (Word, hahaha)
As you listen to my cool, smooth melody
The Daddy makes you J-U-M-P

(Jump Jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Uh huh, uh huh
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)

Now, the formalities of this and that
Is that Kris Kross ain't comin' off wack
And for all y'all suckas that don't know
Check it out

Some of them try to rhyme but they can't rhyme like this (Bo, bo)
Some of them try to rhyme but they can't rhyme like this (Bo, bo)
Some of them try to rhyme but they can't rhyme like this (Bo, bo)
Some of them try to rhyme but they can't (Bo, bo)
'Cause I'm the miggity miggity miggity miggity Mac Daddy (Bo, bo)
The miggity miggity miggity miggity Mac (Bo, bo)
'Cause I'm the miggity miggity miggity miggity Mac Daddy (Bo, bo)
The miggity miggity miggity miggity Mac (Bo, bo)
I make you wanna

(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Uh huh, uh huh
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Uh huh, uh huh
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)
Uh huh, uh huh
(Jump jump)
The Mac Dad'll make ya (Jump jump)
The Daddy Mac'll make ya (Jump jump)
Kris Kross'll make ya (Jump jump)

Boo-yah!!","Hip-Hop, rap, 90s, hip hop, old school"
3,4,"""Save the Best for Last""",Vanessa Williams,"19 ContributorsSave the Best for Last Lyrics“Save the Best for Last” wasn’t specifically written for Vanessa Williams; there were other singers who were offered the song and they all turned it down.
As Vanessa was recording “The Comfort Zone” album at… Read More 
Sometimes the snow comes down in June
Sometimes the sun goes 'round the moon
I see the passion in your eyes
Sometimes it's all a big surprise
'Cause there was a time when all I did was wish
You'd tell me this was love
It's not the way I hoped or how I planned
But somehow it's enough

And now we're standing face to face
Isn't this world a crazy place?
Just when I thought our chance had passed
You go and save the best for last

All of the nights you came to me
When some silly girl had set you free
You wondered how you'd make it through
I wondered what was wrong with you
'Cause how could you give your love to someone else
And share your dreams with me
Sometimes the very thing you're looking for
Is the one thing you can't see

But now we're standing face to face
Isn't this world a crazy place?
Just when I thought our chance had passed
You go and save the best for last

Sometimes the very thing
You're looking for
Is the one thing you can't see

Sometimes the snow comes down in June
Sometimes the sun goes 'round the moon
Just when I thought our chance had passed
You go and save the best for last

You went and saved the best for last","pop, rnb, female vocalists, soul, 80s"
4,5,"""Baby-Baby-Baby""",TLC,"22 ContributorsBaby-Baby-Baby LyricsFollowing the release of their funky high-energy debut single “Ain’t 2 Proud 2 Beg,” TLC returned with the Daryl Simmons, L.A. Reid & Babyface produced slow jam “Baby-Baby-Baby,” led by T-Boz and Chilli. The… Read More 
Now you want my love, well, that's alright
Well, it will be there for you, morning, noon and night
But you gotta be good, and do me right
Ain't got no time for part-time lovin' in my life
Well, you wanna be loved, huh, hey, that's okay
'Cause it falls in line right with my sexuality
But you gotta be down, a nickel gotta be true
Cause otherwise this B ain't got no time for you

Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
'Cause if you're gonna get me off
You got to love me deep

Well, you want my heart, huh, and all my time
But it won't be there if you can't deal with my mind
'Cause a girl like me, huh, won't stand for less
I require plenty conversation with my sex

Long as you know that I could have any man I want to, baby
That's actual and factual, but still, I choose you
To be with me, and work on me, so you better not flake it up
Ohhh

(OH) Baby, baby, baby
I got so much love in me (Gotta be true, you gotta be down)
Oh baby, baby
Baby, baby, baby (Oh, my baby)
'Cause if you're gonna get me off (Get me off)
You got to love me deep (You got to love me, got to love me, love me deep)
Baby, baby, baby (Ain't got no time for the part-time lovin')
I got so much love in me (I gotta be loved, if that's okay)
Oh baby, baby
Baby, baby, baby (Baby, baby, baby, baby, baby)
'Cause if you're gonna get me off (Get me, get me)
You got to love me deep (Get me off)

Baby, long as you know that I could have any man I want to
Baby, that's actual and it's factual
But still, I choose you, to be with me
And work on me, so you better not flake it up

Well, you want my heart, and all my time
Well, it won't be there if you can't deal with my mind
'Cause a girl like me, I won't stand for less
I require plenty conversation with my sex

Baby, baby, baby
I got so much love in me (I got so much love in me)
Oh baby, baby
Baby, baby, baby (Yeah)
'Cause if you're gonna get me off ('Cause if you're gonna get me, get me, you got to)
You got to love me deep (You got to love me deep)

I can have any man that I want to
Time or place that I choose to
But I think you know that I would rather be here with you, yeah
That's actual and factual
You're the one I seem to run back to just to get me off
You got to love me, got to love me, got to love me

Baby, baby, baby (Oh baby)
I got so much love in me (So much love, so much love)
Oh baby, baby
Baby, baby, baby (Oh, my baby)
'Cause if you're gonna get me off
You got to love me deep (Got to love me, got to love me, love me deep)
Baby, baby, baby (Baby, baby, baby, baby, baby, baby)
I got so much love in me (So much love in me)
Oh baby, baby
Baby, baby, baby (Oh yeah)
'Cause if you're gonna get me off ('Cause if you're gonna get me, get me, you got to)
You got to love me deep (Love me deep)
I said baby, baby, baby
I could have any man that I want to
Time or place that I choose to
But I think you know that I would rather be here with you, yeah
That's actual and factual
You're the one I seem to run back to, just to get me off","rnb, Hip-Hop, female vocalists, pop, soul"
5,6,"""Tears in Heaven""",Eric Clapton,"72 ContributorsTears in Heaven LyricsEric Clapton wrote “Tears In Heaven” with songwriter Will Jennings (who also wrote the chart-toppers “Up Where We Belong” and “My Heart Will Go On”) after a six month absence from songwriting and performing.… Read More 
Would you know my name
If I saw you in Heaven?
Would it be the same
If I saw you in Heaven?

I must be strong
And carry on
‘Cause I know I don't belong
Here in Heaven

Would you hold my hand
If I saw you in Heaven?
Would you help me stand
If I saw you in Heaven?

I'll find my way
Through night and day
‘Cause I know I just can't stay
Here in Heaven

Time can bring you down
Time can bend your knees
Time can break your heart
Have you begging please
Begging please


Beyond the door
There's peace, I'm sure
And I know there'll be no more
Tears in Heaven

Would you know my name
If I saw you in Heaven?
Would you be the same
If I saw you in Heaven?

I must be strong
And carry on
'Cause I know I don't belong
Here in Heaven","blues, classic rock, blues rock, rock, guitar"
6,7,"""My Lovin' (You're Never Gonna Get It)""",En Vogue,"27 ContributorsMy Lovin’ (You’re Never Gonna Get It) LyricsEn Vogue’s second album, Funky Divas starts with a skit where the group is getting ready in a dressing room for a show. The four women are scrambling for pantyhose and lipstick before being led to the stage.… Read More 
Ooh, bop

No, you're never gonna get it (Ow!)
Never, ever gonna get it (No, not this time)
No, you're never gonna get it (My love)
Never, ever gonna get it
No, you're never gonna get it (Ow!)
Never, ever gonna get it (Not this time)
No, you're never gonna get it (My lovin')
Never, ever gonna get it
Ooh, bop

I remember how it used to be
You never was this nice, you can't fool me (Ooh, bop)
Now, you're talkin' like you made a change
The more you talk, the more things sound the same (Ah, ah, ah, ow)

What makes you think you can just walk back into her life (Ooh, oh, oh, oh)
Without a good fight, oh? (Ah, ah, ah, ow)
I'll just sit back and watch you make a fool of yourself (Ooh, oh)
'Cause you're just wasting your time, oh

No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin', yeah)
No, you're never gonna get it (Had your chance to make a change)
Never, ever gonna get it
No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Had your chance to make a change)
Never, ever gonna get it
Ooh, bop

Now, you promise me the moon and stars
Save your breath, you won't get very far (Ooh, bop)
Gave you many chances to make change
The only thing you changed was love to hate (Ah, ah, ah, ow)

It doesn't matter what you do or what you say (Ooh, oh, oh, oh)
She doesn't love you, no way (Ah, ah, ah, ow)
Maybe next time, you'll give your woman a little respect (Ooh, oh)
So you won't be hearing her say, ""No way!""

No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin', yeah)
No, you're never gonna get it (Had your chance to make a change)
Never, ever gonna get it
No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Had your chance to make a change, oh)
Never, ever gonna get it
No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Had your chance to make a change)
Never, ever gonna get it
No, you're never gonna get it (Not this time)
Never, ever gonna get it (My lovin', yeah)
No, you're never gonna get it (Had your chance to make a change)
Never, ever gonna get it
Ooh, bop

Woo, yes, sir!
I give to the needy and not the greedy
Mm-hmm, that's right
'Cause you see, baby (Ooh, bop)
When you're lackin', you're losin'
And I'm out the door! (Ah, ah, ah, ow)

Doesn't matter what you do or what you say (Ooh, oh, oh, oh)
She don't love you, no way (Ah, ah, ah, ow)
Maybe next time, you'll give your woman a little respect (Ooh, oh)
So you won't be hearing her say, ""No way!""

(And now, it's time for a breakdown)
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it
Woo-woo, woo, woo!
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never gonna get it
Never gonna get it, never get it
(You bet) Bop!
(You bet) Bop!
(You bet) Bop!
(You bet) Bop!

No, you're never gonna get it (Sweet lovin')
Never, ever gonna get it (Sweet lovin')
No, you're never gonna get it (My lovin')
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Sweet lovin')
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Sweet lovin')
Never, ever gonna get it (My lovin')
No, you're never gonna get it (Not this time)
Never, ever gonna get it (Sweet lovin')
No, you're never gonna get it (My sweet lovin')
Never, ever gonna get it (My sweet lovin')
No, you're never gonna get it (My sweet lovin')
Never, ever gonna get it (My sweet lovin')","rnb, soul, 90s, female vocalists, pop"
7,8,"""Under the Bridge""",Red Hot Chili Peppers,"103 ContributorsTranslationsFrançaisDeutschUnder the Bridge LyricsThe song is about front man Anthony Kiedis and the period in his life when he walked around Los Angeles sad and very alone, finding solace in the streets and hills and the wind…. thinking about his dead… Read More 
Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, The City of Angels
Lonely as I am, together we cry

I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way

Yeah, yeah, yeah

It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love, the city she loves me
Lonely as I am, together we cry

I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
I don't ever wanna feel like I did that day
Take me to the place I love, take me all the way
Yeah, yeah, yeah
Oh, no, no, no, yeah, yeah
Love me, I say, yeah, yeah
(One time)

(Under the bridge downtown)
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away, yeah
Yeah, yeah
(Away)
Oh, no, no no no, yeah yeah
(Away)
Oh no, I said, yeah yeah
(Away)
Where I'll stay","rock, alternative rock, Funk Rock, alternative, funk"
8,9,"""All 4 Love""",Color Me Badd,"8 ContributorsAll 4 Love Lyrics
I'm so glad you're my girl, I'll do anything for you
Call you every night and give you flowers too
I thank the Lord for you and think about you all the time
I ask Him everyday that you'll forever be mine

I wanna hold your hand to show you I'll be there
I like to do the things that let you know I care
I sing this lullaby 'cause, girl, you fill me full
I look into your eyes, you're so beautiful

Oh girl, I think I love ya
I'm always thinkin' of ya
I want ya to know I do it all 4 love
I love it when we're together
Girl, I need you forever
And I want you to know I do it all for love

I will never leave you, sugar, this I guarantee
I look into the future, I see you and me
Knight in shining armor, I will be your fairy tale
I wanna take care of you, girl, I'll serve you well

I will be there for ya to catch you when you fall
I'll hold you in my arms, that's were you belong
I sing this lullaby 'cause, girl, you fill me full
I look into your eyes, you're so beautiful
Beautiful, yeah

Oh girl, I think I love ya
I'm always thinkin' of ya
I want ya to know I do it all 4 love
I love it when we're together
Girl, I need you forever
And I want you to know I do it all 4 love

Yo, come here, sweetheart
I want you to know something, alright?
See, everyday in my life without you would be like a hundred years
The distance between us, an ocean of tears
See all the things I do for you are 4 love
Dig it

All 4 lovin' (All 4 love)
All 4 you (You, you, you)
All 4 lovin' you (You, you, you)

Oh girl, I think I love ya
I'm always thinkin' of ya
I want ya to know I do it all 4 love
I love it when we're together (When we're together)
Girl, I need you forever
I want you to know I do it all 4 love
Oh girl, I think I love ya
I'm always thinkin' of ya
I want you to know I do it all 4 love
I love it when we're together
Girl, I need you forever
I want you to know I do it all 4 love
Oh girl, I think I love ya
I'm always thinkin' of ya
All 4 love
I love it when we're together
Girl, I need you forever","pop, rnb, 90s, soul, new jack swing"
9,10,"""Just Another Day""",Jon Secada,"12 ContributorsJust Another Day Lyrics
Mornings alone
When you come home
I breathe a little faster
Every time we're together
It'd never be the same
(It’d never be the same)
If you're not here
How can you stay away, away so long?
Why can't we stay together?
Just give me a reason
Give me a reason
Give me a reason
    
'Cause I, I don't wanna say it
I don't wanna find another way
Make it through the day without you
I, I, I can't resist
Trying to find exactly what I miss
It's just another day without you
It's just another day

Making the time
Find the right lines
To make you stay forever
What do I have to tell you?
I'm just trying to hold on to something
(Trying to hold on to something good)
Give us a chance to make it
No, no, no
Don't wanna hold on to never
I'm not that strong
I'm not that strong

I, I don't wanna say it
I don't wanna find another way
Make it through the day without you
I, I, I can't resist
Trying to find exactly what I miss
It's just another day without you, no

Why can't you stay forever
Just give me a reason
Give me a reason

I, I don't wanna say it
I don't wanna find another way
Make it through the day without you
I, I, I can't resist
Baby no
Trying to find exactly what I miss
It's just another day without you
I, I don't wanna say it
I don't wanna find another way
Make it through the day without you
I, I, I can't resist
Trying to find exactly what I miss
It's just another day without you","pop, latin, 90s, 80s, male vocalists"
