Unnamed: 0,№,Title,Artist(s),lyrics,genres
0,1,"""Macarena (Bayside Boys Mix)""",Los del Río,,"dance, spanish, world, español, spain"
1,2,"""One Sweet Day""",Mariah Carey and Boyz II Men,"37 ContributorsTranslationsTürkçeOne Sweet Day Lyrics“One Sweet Day,” featuring Boyz II Men, was released as the second single from Mariah’s Daydream album in November 1995. She was inspired to write this song after losing her close friend and collaborator… Read More 
Sorry I've never told you
All I wanted to say
And now it's too late to hold you
'Cause you've flown away, so far away

Never had I imagined
Living without your smile
Feeling and knowing you hear me
It keeps me alive, alive

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together (Together)
One sweet day
(And I'll wait patiently to see you in Heaven)

Darling, I never showed you (No, no, no, no)
Assumed you'd always be there (Always there)
I thought you'd always be there
I, I took your presence for granted
But I always cared (But I always cared)
And I miss the love we shared (Yeah, and I know)

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way (Lost along the way)
And I know eventually we'll be together (Oh, no, I know)
One sweet day
(And I'll wait patiently to see you in Heaven)

(Although the sun will never shine the same again)
(I'll always look to a brighter day) Yeah, yeah
Lord, I know when I lay me down to sleep
You will always listen as I pray

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day (One sweet day)
And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together (Yes, we will)
(One sweet day) One sweet day

Sorry, I never told you
All I wanted to say","pop, rnb, female vocalists, soul, Mariah Carey"
2,3,"""Because You Loved Me""",Celine Dion,"3 ContributorsBecause You Loved Me Lyrics
For all those times you stood by me
For all the truth that you made me see
For all the joy you brought to my life
For all the wrong that you made right
For every dream you made come true
For all the love I found in you
I'll be forever thankful, baby
You're the one who held me up
Never let me fall
You're the one who saw me through, through it all

You were my strength when I was weak
You were my voice whеn I couldn't speak
You were my еyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me
Ooh, baby

You gave me wings and made me fly
You touched my hand, I could touch the sky
I lost my faith, you gave it back to me
You said no star was out of reach
You stood by me and I stood tall
I had your love, I had it all
I'm grateful for each day you gave me
Maybe I don't know that much
But I know this much is true
I was blessed because I was loved by you

You were my strength when I was weak (You were my strength)
You were my voice when I couldn't speak
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach
You gave me faith 'cause you believed
I'm everything I am
Because you loved me (Loved me), oh

You were always there for me
The tender wind that carried me
A light in the dark, shining your love into my life
You've been my inspiration
Through the lies, you were the truth
My world is a better place because of you

You were my strength when I was weak (You were my strength)
You were my voice when I couldn't speak (Oh, when I couldn't speak)
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach (Oh)
You gave me faith 'cause you believed
I'm everything I am
Because you loved me (Hey)
You were my strength when I was weak
You were my voice when I couldn't speak (My voice)
You were my eyes when I couldn't see
You saw the best there was in me
Lifted me up when I couldn't reach (Oh)
You gave me faith 'cause you believed (Believed)
I'm everything I am
Because you loved me
Oh

I'm everything I am
Because you loved me","pop, female vocalists, Canadian, 90s, french"
3,4,"""Nobody Knows""",The Tony Rich Project,"15 ContributorsNobody Knows Lyrics
Yeah, wish I told her how I felt
Maybe she'd be here right now
But instead...

I pretended I'm glad you went away
These four walls closin' more every day
And I'm dying inside
And nobody knows it but me
Like a clown I put on a show
The pain is real even if nobody knows
And I'm crying inside
And nobody knows it but me

Why didn't I say
The things I needed to say
How could I let my angel get away
Now my world is just a tumblin' down
I can say it so clearly
But you're nowhere around

The nights are lonely, the days are so sad
And I just keep thinkin' about
The love that we had
And I'm missin' you
And nobody knows it but me

I carry a smile when I'm broken in two
And I'm nobody without someone like you
I'm tremblin' inside
And nobody knows it but me
I lie awake it's a quarter past three
I'm screamin' at night as if I thought you'd hear me
Yeah my heart is callin' you
And nobody knows it but me

How blue can I get
You could ask my heart
But like a jigsaw puzzle it's been torn all apart
A million words couldn't say just how I feel
A million years from now you know
I'll be lovin' you still

The nights are lonely, the days are so sad
And I just keep thinkin' about
The love that we had
And I'm missin' you
And nobody knows it but me

Tomorrow mornin' I'm hitting the dusty road
Gonna find you wherever, ever you might go
I'm gonna unload my heart
And hope you come back to me
Said when the nights are lonely...

The nights are lonely, the days are so sad
And I just keep thinkin' about
The love that we had
And I'm missin' you
And nobody knows it but me","rnb, soul, 90s, american, male vocalists"
4,5,"""Always Be My Baby""",Mariah Carey,"47 ContributorsAlways Be My Baby Lyrics“Always Be My Baby” is the third single from Mariah Carey’s fifth studio album Daydream The song became Carey’s 11th chart topper on Billboard Hot 100, tying her with Whitney Houston and Madonna for the most… Read More 
Do do doop dum
Do do doop do doop da dum
Do do doop dum (Oh ah ah yeah yeah)
Do do doop do doop da dum
Do do doop do do do
Do do doop do doop da dum
Do do doop dum (Baby, baby, baby, baby, baby, baby)
Do do doop do doop da dum

We were as one, babe
For a moment in time
And it seemed everlasting
That you would always be mine
Now you want to be free
So I'll let you fly
'Cause I know in my heart, babe
Our love will never die, no

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on
Time can't erase a feeling this strong
No way you're never gonna shake me
Ooh, darling, 'cause you'll always be my baby

Do do doop dum
Do do doop do doop da dum
Do do doop dum
Do do doop do doop da dum (Yes, you will)

I ain't gonna cry, no
And I won't beg you to stay
If you're determined to leave, boy
I will not stand in your way
But inevitably
You'll be back again
'Cause you know in your heart, babe
Our love will never end, no

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on
Time can't erase a feeling this strong
No way you're never gonna shake me
Ooh, darling, 'cause you'll always be my baby

I know that you'll be back, boy
When your days and your nights get a little bit colder, oh
I know that you'll be right back, baby
Oh, baby, believe me, it's only a matter of time, time

You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
And we'll linger on (And we will linger on and on)
Time can't erase a feeling this strong
No way you're never gonna shake me (Ooh baby)
Ooh, darling, 'cause you'll always be my baby
You'll always be a part of me
I'm part of you indefinitely
Boy, don't you know you can't escape me?
Ooh, darling, 'cause you'll always be my baby
(You and I) And we'll linger on
Time can't erase a feeling this strong (You and I)
No way you're never going to shake me (you and I)
Ooh, darling, 'cause you'll always be my baby

You and I will always be
No way you're never gonna shake me
No way you're never gonna shake me
You and I will always be","pop, rnb, female vocalists, soul, Mariah Carey"
5,6,"""Give Me One Reason""",Tracy Chapman,"23 ContributorsGive Me One Reason Lyrics
Give me one reason to stay here
And I'll turn right back around
Give me one reason to stay here
And I'll turn right back around
Said I don't wanna leave you lonely
You gotta make me change my mind

Baby, I got your number
Oh, and I know that you got mine
You know that I called you, I called too many times
You can call me baby, you can call me anytime
But you got to call me

Give me one reason to stay here
And I'll turn right back around
Give me one reason to stay here
And I'll turn right back around
Said I don't wanna leave you lonely
You gotta make me change my mind

I don't want no one to squeeze me
They might take away my life
I don't want no one to squeeze me
They might take away my life
I just want someone to hold me
Oh, and rock me through the night

This youthful heart can love you, yes
And give you what you need
I said this youthful heart can love you
Oh, and give you what you need
But I'm too old to go chasing you around
Wasting my precious energy

Give me one reason to stay here
Yes, now turn right back around
Give me one reason to stay here
Oh, I'll turn right back around
Said I don't wanna leave you lonely
You gotta make me change my mind

Baby, just give me one reason
Give me just one reason why
Baby, just give me one reason
Oh, give me just one reason why I should stay
Said I told you that I loved you
And there ain't no more to say","female vocalists, folk, singer-songwriter, soul, acoustic"
6,7,"""Tha Crossroads""",Bone Thugs-n-Harmony,"2 ContributorsTha Crossroads (Tha Flesh Flip Remix) LyricsBone Bone Bone Bone, Bone Bone Bone Bone Bone
Now tell me what'cha gonna do (Now tell me what...)
When there ain't no where to run
When judgment comes for you (When judgment comes for you)
Now tell me what'cha gonna do (Now tell me what...) When there ain't no where to hide
When judgment comes for you (Cause it's gonna come for you)

Now feel it, the pain was gettin' me hypеd and so violent
But Wally was the worst of us all
Pump in his chest and hе never knew it
Poor Wally had to fall victim, a casualty
But I lay my soul down and I think it all better when it falls down
Everybody got problems to face to face everyday
With it when there's so many lost souls (Lost souls)

God bless you workin' on a plan to Heaven follow the Lord all 24
7 days, God is who we praise even though the devil's all up in my face
But he keepin' me safe and in my place, say grace
And maybe you people should do to the same (The game)
Recognize a good game man, it's an everyday thang how we gotta maintain

Now follow me roll stroll whether it's Hell or it's Heaven
Come let's go take a visit of people that's long gone on their rest;
Wally, Eazy, Terry, Boo
It's steadily creepin' up on the family
Exactly how many days we got lasting?
While you laughin' we're passin' passin' away

Little Eazy's long gone, really wish he would come home
But when it's time to die, gotta go bye bye, all a little thug could do was cry, cry
Why they kill my dog? Damn man, I miss my Uncle Charles ya'll
And he shouldn't be gone, in front of his home
What they did to Boo was wrong (Ooh wrong, ooh wrong...)

We choose the way you gonna go into the coffin man
When it comes to Judgement Day
Flame and blaze, and up at The Door
With all of my problems man
What a thankful day
Through the pain I still maintain
Bang! Put it on my grave

See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely

Hey my niggas, you know that we care
And cough up weed wit a me peoples
 and I believe 'em
Rest In Peace, son
When I hit the hater hater, where will I go? This world has been so cruel
And runnin' up when they're hittin 'em strong, Bone

I still feel for you even though your long gone (Wally, Wally)
You always got love from Bone
Eternally, gotta love Little E for lovin' me and my peoples B.O.N.E
Yeah, you put that Bone Thugs on now

What's up with murder yall? See my little cousin was hung, somebody was really wrong
Everybody want to test us dog
And Miss Sleazy set up Eazy to fall
You know we be sinnin' and Krayzie intended on endin' it when it ends
Murder come again, again and again
Now tell me whatcha gonna do?

And now that they see that the world goes round and round and round
Now I'm startin' to see why somedays I was lonely
But it ain't that the world don't love me
But it's like that when I gotta make the money
Faithful, livin' in a hateful world, it's all about our family and how we grow
Can I get a witness? Let it unfold
We livin' our lives til eternal our soul

Yeah, and here we roll, cold, with the Thug N Harmony
Lil' punk in the trunk
Set 'em up with the murder
Eazy E died, he gone, and now Bone and Mo! seekin' revenge on this song
Soon to take him head on and he's drunk
Midnight fell, that gotta be wrong
I be bustin' on somethin'
Maintain, chill pill to the brain
My people will not let me tryin' to take one destruction, Bang!
And I'm thuggin' off at the golden gate safely

See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely
See you at the crossroads, crossroads, crossroads
So you won't be lonely","Hip-Hop, rap, Gangsta Rap, hip hop, rnb"
7,8,"""I Love You Always Forever""",Donna Lewis,"23 ContributorsTranslationsDeutschI Love You Always Forever LyricsThe clearest sign that this is the most important song in the career of Donna Lewis is the fact that the bio on her website begins by explaining that the hit, while being the one by which most fans have come… Read More 
Feels like I'm standing in a timeless dream
Of light mists, of pale amber rose
Feels like I'm lost in a deep cloud of heavenly scent
Touching, discovering you
Those days of warm rains come rushing back to me
Miles of windless summer night air (Summer night, summer night air)
A secret (Secret) moment shared in the heat of the afternoon
Out of the stillness, soft-spoken words

Say it, say it again

I love you always, forever
Near and far, closer together
Everywhere, I will be with you
Everything (Say it, say it again), I will do for you
I love you, always, forever
Near and far, closer together
Everywhere, I will be with you
Everything, I will do for you

You've got the most unbelievable blue eyes
I've ever seen
You've got me almost melting away
As we lay there
Under a blue sky with pure white stars
Exotic sweetness, a magical time

Say it, say it again

I love you always, forever
Near and far, closer together
Everywhere, I will be with you
Everything (Say it, say it again), I will do for you
I love you always, forever
Near and far, closer together
Everywhere, I will be with you
Everything, I will do for you

Say you'll love, love me forever
Never stop, never, whatever near and far
And always and everywhere and every
Say you'll love, love me forever
Never stop, never, whatever near and far
And always and everywhere and every
Say you'll love, love me forever
Never stop, never, whatever near and far
And always and everywhere and every
Say you'll love, love me forever
Never stop, never, whatever near and far
And always and everywhere and everything

Yeah, mm, yeah
I love you always, forever
Near and far, closer together
Everywhere, I will be with you
Everything, I will do for you
I love you always, forever
Near and far, closer together
Everywhere, I will be with you
Everything, I will do for you
I love you always, forever
Near and far, closer together","pop, female vocalists, 90s, welsh, singer-songwriter"
8,9,"""You're Makin' Me High"" / ""Let It Flow""",Toni Braxton,,"soul, rnb, female vocalists, pop, 90s"
9,10,"""Twisted""",Keith Sweat,"23 ContributorsTwisted Lyrics
Oh yeah baby
You got to make your mind up
Yeah
Kut Klose, help me out

(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted over you
(I know I got what you need) I got what you need right here baby
(So what you wanna do)

Baby, baby I know
Baby I love you so
But you don’t feel like I do
Tell me what can I do

(But I gotta be strong) But I gotta be strong
(Did me wrong) Girl you did me wrong
(When I thought we were really down) I thought we were down
(So you say you want me) Now you say you want me girl
(Make up your mind) Ooh make up your mind
( ‘Cause I’m not gonna be here for long) I’m not gonna be here for long

(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted over you
(I know I got what you need) I got what you need right here baby
(So what you wanna do)

Baby, baby in time (Baby in time)
Baby I know you’ll find (I know you’ll find)
That what you needed was here (oh no no, no no no)
Think about it my dear

(But I gotta be strong) But I gotta be strong
(Did me wrong) Girl you did me wrong
(When I thought we were really down) I thought we were down
(Now you say you want me) Now you say you want me girl
(Make up your mind) Ooh make up your mind
( ‘Cause I’m not gonna be here for long) I’m not gonna be here for long

(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do)
Break it on down

You got me twisted thinking about the way that things use to be
When it was you and me girl I was so free, see
You had my heart from the start like Cupid
And I was just downright foolish and stupid
But now I know the reason for the pain and the headaches
You left me all alone now I can’t even concentrate
I guess I’ll wait for the day until you come back
Because my heart is where your love is at
You got me twisted

(You know you want my lovin') You know you want my lovin' baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do) What are you gonna do baby
(You know you want my lovin') You know, I can make you feel real good if you let me baby
(You got me twisted over you) Girl you got me twisted baby
(I know I got what you need) I got everything you need tonight
(So what you wanna do) What are you gonna do baby
(You know you want my lovin') You know you want my lovin' baby","rnb, soul, slow jams, new jack swing, 90s"
