Unnamed: 0,No.,Title,Artist(s),genres
0,1,"""Love Will Keep Us Together""",Captain & Tennille,"pop, 70s, female vocalists, synth pop, soft rock"
1,2,"""Rhinestone Cowboy""",Glen Campbell,"country, singer-songwriter, folk, classic country, pop"
2,3,"""Philadelphia Freedom""",Elton John,"pop, classic rock, singer-songwriter, rock, piano"
3,4,"""Before the Next Teardrop Falls""",Freddy Fender,"country, classic country, oldies, texas, male vocalists"
4,5,"""My Eyes Adored You""",Frankie Valli,"60s, classic rock, oldies, jazz, swing"
5,6,"""Some Kind of Wonderful""",Grand Funk Railroad,"classic rock, hard rock, rock, 70s, funk"
6,7,"""Shining Star""","Earth, Wind & Fire","funk, soul, Disco, 70s, rnb"
7,8,"""Fame""",David Bowie,"glam rock, rock, classic rock, 80s, alternative"
8,9,"""Laughter in the Rain""",Neil Sedaka,"oldies, 60s, pop, 50s, jazz"
9,10,"""One of These Nights""",Eagles,"classic rock, rock, 70s, soft rock, country"
10,11,"""Thank God I'm a Country Boy""",John Denver,"country, folk, singer-songwriter, acoustic, classic rock"
11,12,"""Jive Talkin'""",Bee Gees,"Disco, pop, 70s, classic rock, oldies"
12,13,"""Best of My Love""",Eagles,"classic rock, rock, 70s, soft rock, country"
13,14,"""Lovin' You""",Minnie Riperton,"soul, female vocalists, funk, jazz, oldies"
14,15,"""Kung Fu Fighting""",Carl Douglas,"Disco, funk, 70s, pop, 80s"
15,16,"""Black Water""",The Doobie Brothers,"classic rock, rock, 70s, Southern Rock, soft rock"
16,17,"""The Ballroom Blitz""",Sweet,"glam rock, classic rock, 70s, hard rock, rock"
17,18,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""",B.J. Thomas,"pop, oldies, 60s, blues, american"
18,19,"""He Don't Love You (Like I Love You)""",Tony Orlando and Dawn,"70s, pop, oldies, soft rock, male vocalists"
19,20,"""At Seventeen""",Janis Ian,"folk, singer-songwriter, female vocalists, classic rock, pop"
